Book,Chapter,Verse,Scripture
40,1,1,Sẽ nase Jezu Kyrixtu enurutopõpyry poko. Tawi paryme Jezu kynexine. Aparão paryme roropa Tawi kynexine.
40,1,2,"Izake mokyro Jako zumy.Jako mokyro Juta zumy, Juta akorõ tõ maro."
40,1,3,Jẽkõ Tamara kynexine.Pereze mokyro Ezerõ zumy.Ezerõ roropa Arão zumy.
40,1,4,Aminatape mokyro Nasõ zumy.Nasõ mokyro Saramõ zumy.
40,1,5,Poaze eny Raape kynexine.Poaze mokyro Opete zumy.Opete eny Ruti kynexine.Opete mokyro Jese zumy.
40,1,6,Tawi mokyro Saromão zumy.Saromão eny mokyro Uria pytỹpyry.
40,1,7,Ropoão mokyro Apia zumy.Apia mokyro Aza zumy.
40,1,8,Josapa mokyro Jorão zumy.Jorão mokyro Uzia zumy.
40,1,9,Jotão mokyro Akazi zumy.Akazi mokyro Ezekia zumy.
40,1,10,Manase mokyro Amõ zumy.Amõ mokyro Josia zumy.
40,1,11,Saratieu mokyro Zoropapeu zumy.
40,1,13,Apiuti mokyro Eriakĩ zumy.Eriakĩ mokyro Azoro zumy.
40,1,14,Satoke mokyro Akĩ zumy.Akĩ mokyro Eriuti zumy.
40,1,15,Ereaza mokyro Matã zumy.Matã mokyro Jako zumy.
40,1,16,"Joze mokyro Maria nio, Jezu ẽ nio.Jezu mokyro Kyrixtu, Kuesẽkomo. Morara exiryke Aparão tõ toemũkuase. Imũkuru tõ roropa toemũkuase. Ipakõ roropa toemũkuase. Morara exiryke Aparão poe tãtakenahtose toto 14me Tawi enurutopõpyry pona. Ẽ xia ropa, Tawi poe Izyraeu tõ arotopõpyry pona Papironia pona, morararo toemũkuase ropa toto 14me. Morotoino Izyraeu to arotopõpyry poe Ritonõpo nymenekahpyry enurutopõpyry pona 14me toemũkuase ropa toto."
40,1,18,Mame ynara Jezu Kyrixtu enurutopõpyry kynexine. Maria Jezu eny tymenekase Joze a typytyme repe. Yrome oximaro exipitopyra ro tahtao xine poetoẽme toehse nohpo Ritonõpo zuzenu poe.
40,1,19,Mame mokyro Joze zae exikety kynexine. Nohpo poetoẽme eneryke tyya iniome se pyra toehse ynororo repe. Yrome jarao Maria hxirory se pyra kynexine. Morara exiryke tõsenetupuhse irumekary poko. Tokare pyra rokẽ irumekary se toehse ynororo repe.
40,1,20,"Mame moro poko aemynyhmaryhtao ro taosenehkase ynororo Ritonõpo a. Ynara tykase Ritonõpo nenyokyhpyry aosenety eya,—Aimo Joze, Tawi paryme mase. Etako pahne, torẽtyke pyra exiko Maria poetoẽme exiry poko. Mokyro apoiko opytyme. Ritonõpo zuzenu poe poetoẽme mã ynororo."
40,1,21,"Enurũko mana orutuame. Mame Jezume mokyro esehpãko mase. Ynara exiryke, typoetory tõ kurãkãko mana. Toto rypyry korokãko roropa mana. Morara exiryke Jezume esehpãko mase, tykase sã mokyro Ritonõpo nenyokyhpyry Joze a aosenety."
40,1,22,"Morara toehse emero Ritonõpo omihpyryae ro. Pake ynara tykase Ritonõpo exiryke urutono a,Mame enurũko mana orutuame.Mame esety Emanueume exĩko,”tykase ynororo Ritonõpo poe pake. “Emanueu,” kary, “Ritonõpo kymaro xine mana,” kary epereu omiryae. Series, "
40,1,24,Morarame typakase ropa tahtao Ritonõpo nenyokyhpyry omipona toehse ynororo. Maria tapoise eya typytyme.
40,1,25,Yrome typyty maro pyra kynexine aporo aenururu ponãmero. Mame tonuruse ahtao Jezume tosehpase eya.
40,2,1,"Jezu enese aehtyã xixi tũtatoh winoMame Jezu tonuruse Berẽ po, Jutea rãnaõ pata po, Erote Jutea tuisaryme ahtao. Mame te rokẽme orutua kõ toytose Jerusarẽ pona. Xixi tũtatoh wino esarykõ kynexine. Xirikuato poko atamorepaketõ kynexine. Mame ynara tykase toto Jerusarẽpõkomo a,"
40,2,2,"—Otoko hko enurusenã nae? Juteu to tuisaryme aenuruhpyry nae? Ikyryry ynanenease xirikuato, tõnuhse ahtao xixi tũtatoh wino. Moro eneryke yna a aenururu waro toehse yna. Moro xirikuato tokahmase yna a. Morara exiryke mokyro enese ynanoehno xiaro kure tyritohme, tykase toto Jerusarẽpõkomo a."
40,2,3,"Mame mokaro xirikuato ekahmahpõkõ omiry etaryke tyya xine tutuisarykõ turuse toto a, Erote turuse. Mame toto omiry etaryke tyya torẽtyke toehse Erote imepỹ tuisa se pyra toexiryke tymyakãme. Morararo Jerusarẽpõkõ emero torẽtyke toehse toto."
40,2,4,"Mame Erote a Ritonõpo maro oturuketõ tykohmase tyya, tamuximãkomo, Moeze omihpyry poko imehnõ amorepananõ roropa.—Otoko Ritonõpo nymenekahpyry enurũko nae Kuesẽkõme? tykase Erote, tõturupose eya xine."
40,2,5,"—Berẽ po Jutea rãnaõ po, tykase toto. Ynara tymerose exiryke urutono a pake Ritonõpo poe,"
40,2,6,"tuisame hkopyra osekarõko matose.Pata pitiko rokẽ oesarykõ ekarõko roropa matose repe.Izyraeu tõ esẽme exĩko mã ynororo,”ãko Ritonõpo poe urutõ nymerohpyry, tykase toto Erote a."
40,2,7,"Morarame Erote a xirikuato ekahmahpõkõ tykohmase tyya toto maro tõturutohme tokare pyra. Mame tõturupose eya xine xirikuato onuhtopõpyry poko,—Otara ahtao xirikuato menepitoatohse? tykase ynororo."
40,2,8,"Mame zuaro toehse tahtao taropose toto eya Berẽ pona.—Ytotoko Berẽ pona. Enurusenã zupitatoko. Mame mokyro tonese oya xine ahtao, meramatatose ropa aporo juruse. Ywy roropa jytory se ase kure tyrise, tykase Erote eya xine repe. Ajohpe morara tykase ynororo poeto etapary se toexiryke."
40,2,9,"Mame morara kary etaryke tyya xine toytose toto. Toytorykohtao xirikuato tonese ropa eya xine, mororo inenehpyrykõ ro xixi tũtatoh wino, aosenepohpyry ro. Mame toto esemazupurume xirikuato toytose poeto pitiko esary pona. Mame totypohse epozakoxi. Tãkye toehse toto yronymyryme xirikuato eneryke tyya xine."
40,2,11,"Mame tapyi taka toytose toto. Moro tao enurusenã tonese eya xine tyse enao, Maria enao. Mame tosekumurukõ po typorohse toto Jezu ẽpataka, “Kure mase imehxo,” katohme tyya xine eya. Mame typakarãkõ ae tynekarorykõ touse eya xine ekarotohme eya. Uuru, ixtaratu, imepỹ ixtaratu roropa, enara touse kehko eya xine tynekarorykõme eya."
40,2,12,"Mame tõsenetykõ Ritonõpo omiry totase eya xine.—Ytopyra ropa ehtoko Erote a, tykase eya xine aosenetykomo. Morara exiryke imepỹ osema ae rokẽ toytose ropa toto, tosaka xine."
