Book,Chapter,Verse,Scripture
40,1,1,"Xesosi Teoso mereẽkiti itxaua. Uai aua Xesosi apika atokiriakorini uãka. Xosee inakori Xesosi iri atoko ĩkorapokoriti. Apraãoni, Taviini pakini Xesosi apika atokiriakorini atoko. Ininiã Xesosi Taviini, Apraãoni pakini imi atoko itxa."
40,1,2,"Ininiã ia atoko itxa:• Kitxakapirĩka Apraão, Isaki iri.• Isaki, Xakoo iri.• Xakoo, Xotaa itariakorikata iri."
40,1,3,"• Xotaa, Péresi, Sera pakini iri. Inorona Tamara.• Péresi, Ésirõ iri.• Ésirõ, Arão iri."
40,1,4,"• Arão, Aminatapi iri.• Aminatapi, Nasoõ iri.• Nasoõ, Sáomõ iri."
40,1,5,"• Sáomõ, Póasi iri. Póasi inoro Haapi.• Póasi, Opetxi iri. Opetxi inoro Hotxi.• Opetxi, Xesee iri."
40,1,6,"• Xesee, Tavii iri. Tavii Isaeokini auĩte itxaua.• Tavii, Saromão iri. Saromão inoro mitxi Oria ĩtanoro. Eereka Tavii takaro oa."
40,1,7,"• Saromão, Hopoão iri.• Hopoão, Apia iri.• Apia, Asa iri."
40,1,8,"• Asa, Xosapaa iri.• Xosapaa, Xorão iri.• Xorão, Osia iri."
40,1,9,"• Osia, Xotão iri.• Xotão, Akasi iri.• Akasi, Esekia iri."
40,1,10,"• Esekia, Manasee iri.• Manasee, Amõ iri.• Amõ, Xosia iri."
40,1,11,"• Xosia, Xekonia itariakorikata iri. Iuasaaki ĩkorakanani kãkiti Isaeokini maĩkaãka. Papirónia tixinimoni anikaãkana."
40,1,12,"• Papirónia anikikona atoko,• Xekonia, Saratxieo iri.• Saratxieo, Soropapeo iri."
40,1,13,"• Soropapeo, Apiotxi iri.• Apiotxi, Eriakiĩ iri.• Eriakiĩ, Asoo iri."
40,1,14,"• Asoo, Satoki iri.• Satoki, Akĩ iri.• Akĩ, Eriotxi iri."
40,1,15,"• Eriotxi, Ereasa iri.• Ereasa, Mataã iri.• Mataã, Xakoo iri."
40,1,16,"• Xakoo, Xosee iri. Iua Xosee, Maria ĩtaniri. Xesosi, iuara Teoso Mereẽkiti itxaua. Inoro Maria."
40,1,17,"Apraão, iua ãkiri, imekaniri, apika mekaniri, apika mekaniri ãkiri, apika mekaniri apika mekaniri, apiko itxaãpota. Tavii auakasaaki, katosipeka pakini ninoa uãka. Eereka aua Tavii, Tavii ãkiri, imekaniri, apika mekaniri, apiko itxaãpota. Katosipeka pakini ninoa uãka. Iuasaakiika Xoteoakori anikaãka Papirónia tixinimoni. Ninoa mekaniriakori katosipeka inakasaaki, Xesosi iponaniãpeka."
40,1,18,"Ia atoko itxapaniko Xesosi. Teoso mereẽkiti iponaniãkasaaki, Maria ominapatari Xosee. Oĩtaniriuatini apisapanika, omotokiãri amarini Erekari Matamatakoti sikakiti."
40,1,19,"Xosee uãkatari Maria kamari maerekati ãtikata. Atão inakarinoka kamakari iua, ininiã kona inirekari kãkiti imaropiretiniri oa kamixi onini. Kãkiti sauaki osiniã, Xosee !inirekaro opẽtauatini, kotxi erekari kamakari iua. Ininiã inirekari itakanapiniro oa, ixika kãkiti mimarotakaniã."
40,1,20,"Ikara atoko inini ixiniremoni, Teoso nitiri iaxitikiri apoka itaponemoni. Ininiã itxa:—Xosee, Taviini apika mekaniri pite. Kona pipĩkapero Maria papakapini pĩtanoro ĩkapani, kotxi Erekari Matamatakoti, iuara kamixipeka txĩkitakaro."
40,1,21,"Auako oa ãkiri. Pitakauãkatariko Xesosi itxauako, kotxi imakatxakari kãkiti maerekani —itxa Teoso nitiri.“Xesosi” popĩkari sãkireẽ, iuatxikana, “Kãkiti Maerekani Makatxakakari,” itxa."
40,1,22,Apikomoni Teoso nitiri txari:Hĩkenakotari. Sito kikikata masirĩkato mixiuatako. Auako oimi. Itakauãkataãka Emanoeo inakori—itxa Teoso nitiri Xoseemoni. “Emanoeo” popĩkari sãkireẽ “Teoso atekata aua.”
40,1,24,"Xosee merekasaaki, iua auikari Teoso nitiri sãkire. Ininiã ĩtanorouata Mariakata."
40,1,25,"Eereka amarini iponaniãkasaaki, Xosee takauãkatari Xesosi itxaua. Amarini iponaniini apisa iua !isirĩka Mariakata."
