Book,Chapter,Verse,Scripture
40,1,1,"Jesus Cristo wâgâ ise unâgu. Davi iwerypyry myakâwâm Jesus Cristo, Davi pylâ Abraão iwerypyry-ro warâ."
40,1,2,"Saguhoem kuru ise Jesus idamudo kâengatuly, Abraão donropyrylâ, pymâ Daviram. Abraão myakâwândy Isaque nhunwym; Isaque, Jacó nhunwym. Jacó, Judá, iwaigorudolâ warâ nhunwym."
40,1,3,"Judá, Peres, Zera warâ nhunwym. Tamar myakâwândy isemo ezedy. Peres, Esrom nhunwym. Esrom, Arão nhunwym."
40,1,4,"Arão, Aminadabe nhunwym. Aminadabe, Nasom nhunwym. Nasom, Salmom nhunwym."
40,1,5,"Salmom, Boaz nhunwym. Boaz ise myakâwândy Raabe keho. Boaz, Obede nhunwym. Obede ise myakâwândy Rute. Obede, Jessé nhunwym. Jessé, Davi nhunwym."
40,1,6,"Jesus idamudo ise iwerâ kâengatuly, Davidâpalâ, kypemugudo sawâtybyem Babiloniaram satyby modoram. Kydamudo iwymâry ton-honreim, tynrenseim warâ myakâwândy Davi. Davi, Salomão nhunwym. Bate-Seba keho agâ imerymo. Urias iwydypyry myakâwândy mâkâ."
40,1,7,"Salomão, Roboão nhunwym. Roboão, Abias nhunwym. Abias, Asa nhunwym."
40,1,8,"Asa, Josafá nhunwym. Josafá, Jorão nhunwym. Jorão, Uzias nhunwym."
40,1,9,"Uzias, Jotão nhunwym. Jotão, Acaz nhunwym. Acaz, Ezequias nhunwym."
40,1,10,"Ezequias, Manassés nhunwym. Manassés, Amom nhunwym. Amom, Josias nhunwym."
40,1,11,"Josias, Jeconias, iukonodolâ warâ nhunwym. Israeldâ Jeconias pymâem awyly ume myakâwândy kydamudo adaholy Babiloniaram. Iweâpa myakâwândy Babiloniadâ awylymo, tâtymo anaxilâ odopâdomoem en-hem kehomba tawylymogue."
40,1,12,"Jesus idamudo ise iwerâ kâengatuly, kydamudo Babiloniaram satoem sawâtyby modo dompyryenlâ, Jesus iazehobyryram. Jeconias, Salatiel nhunwym. Salatiel, Zorobabel nhunwym. Akaemo ume myakâwândy kydamudo Babilôniadâpa odopâdylymo tâtymo anaxilâ."
40,1,13,"Zorobabel, Abiúde nhunwym. Abiúde, Eliaquim nhunwym. Eliaquim, Azor nhunwym."
40,1,14,"Azor, Sadoque nhunwym. Sadoque, Aquim nhunwym. Aquim, Eliúde nhunwym."
40,1,15,"Eliúde, Eleazar nhunwym. Eleazar, Matã nhunwym. Matã, Jacó nhunwym."
40,1,16,"Jacó, José nhunwym. José akâwâm Jesus nhunwyn-em ini, Maria agâ tohogüinduo. Jesus ani Maria imery. Jesus mawânkâ Cristo kelygue tâzekeim, Messias “Deus Ingonotyby” keze aguely."
40,1,17,"Jesus idamudo merâ kâengatuly: Abraão donropyryem katorze lelâ iepadomobyry, Daviram; eagonro katorze modo lâpylâ Davi donropyryem israelita domodo Babiloniaram satyby modoram, eagonro katorze iepadobyryem lâpylâ Jesus iazeho odaxi."
40,1,18,Jesus iazehobyry wâgâ ise unâ kâengatuly. Pekodo Maria keho myakâwâm ise. Uguondo José keho agâ ohogüinrim wâne myakâwâm mâkâ. Ohogüinlymo iraynâlâ olâ myakâwâm Deus Ispiritury eon-honrugue adamyly.
