Book,Chapter,Verse,Scripture
40,1,1,"MatewMatew umumeꞌu Zezuz tàmuzgwer waner xe aꞌe wà kuryAiꞌaw Zezuz hàmuzgwer waner xe aꞌe wà kury. Zezuz Zaneruwihawete aꞌe, Tawi izuapyr romo hekon aꞌe. Tawi Àmàrààw izuapyr romo hekon aꞌe. Naꞌaw Zezuz Zaneruwihawete izypy waner xe aꞌe wà kury."
40,1,2,"Heta Àmàrààw taꞌyr Izak her maꞌe izupe aꞌe. Izak umuzàg Zako aꞌe. Zako umuzàg Zuta aꞌe, Zuta heta teteaꞌu tywyr aꞌe wà."
40,1,3,"Zuta umuzàg Pet aꞌe, Zer tu romo hekon aꞌe no. Tamar wahy her romo aꞌe. Pet umuzàg Ez aꞌe. Ez umuzàg Àràw aꞌe."
40,1,4,Àràw umuzàg Aminanaw aꞌe. Aminanaw umuzàg Naz aꞌe. Naz umuzàg Xarumu aꞌe.
40,1,5,Xarumu umuzàg Moaz aꞌe. Haꞌaw ihy her romo aꞌe. Moaz umuzàg Ope aꞌe. Huxi ihy her romo aꞌe. Ope umuzàg Zexe aꞌe.
40,1,6,Zexe umuzàg tuwihaw Tawi aꞌe.Tawi umuzàg Xàrumàw aꞌe. Ihy Uri hemireko kwer romo hekon aꞌe.
40,1,7,Xàrumàw umuzàg Homoàw aꞌe. Homoàw umuzàg Awi aꞌe. Awi umuzàg Az aꞌe.
40,1,8,Az umuzàg Zuzapa aꞌe. Zuzapa umuzàg Zuràw aꞌe. Zuràw umuzàg Uzi aꞌe.
40,1,9,Uzi umuzàg Zotàw aꞌe. Zotàw umuzàg Akaz aꞌe. Akaz umuzàg Ezeki aꞌe.
40,1,10,Ezeki umuzàg Manaxe aꞌe. Manaxe umuzàg Amon aꞌe. Amon umuzàg Zuzi aꞌe.
40,1,11,"Zuzi umuzàg Zekuni aꞌe, tywyr wanu romo wiko pà aꞌe no. Aꞌe ꞌar mehe zauxiapekwer Mawiron ywy rehe har uzàmàtyryꞌym Izaew izuapyapyr wà aꞌe wà. Uzuka teko teteaꞌu aꞌe pe har wà. Weraha ikurer uzeupi wà, weko haw pe Mawiron tawhu pe wà."
40,1,12,Mawiron tawhu pe waneraha pawire Zekuni umuzàg Xaraxiew aꞌe. Xaraxiew umuzàg Zurupapew aꞌe.
40,1,13,Zurupapew umuzàg Amiu aꞌe. Amiu umuzàg Eriaki aꞌe. Eriaki umuzàg Azor aꞌe.
40,1,14,Azor umuzàg Xatok aꞌe. Xatok umuzàg Àki aꞌe. Àki umuzàg Eriu aꞌe.
40,1,15,Eriu umuzàg Ereazar aꞌe. Ereazar umuzàg Pàtà aꞌe: Pàtà umuzàg Zako aꞌe.
