Book,Chapter,Verse,Scripture
40,1,1,"ayvu porã ombopara vaꞌekueKovaꞌe kuaxia re ma oĩ Jesus Cristo ramoĩ ypy kuery rery. Jesus ma Davi ramymino oiko, haꞌe Davi ma Abraão ramymino rakaꞌe."
40,1,2,"Abraão raꞌy ma Isaque, Isaque raꞌy ma Jacó, Jacó raꞌy ma Judá haꞌe tyvy kuery."
40,1,3,"Judá Tamar re taꞌya ma Perez haꞌe Zerá. Perez raꞌy ma Esrom, Esrom raꞌy ma Arão,"
40,1,4,"Arão raꞌy ma Aminadabe, Aminadabe raꞌy ma Naassom, Naassom raꞌy ma Salmom,"
40,1,5,"Salmom raꞌy Raabe guigua ma Boaz. Boaz raꞌy guigua ma Obede, haꞌe Obede raꞌy ma Jessé."
40,1,6,"Jessé raꞌy ma huvixave Davi, haꞌe huvixa Davi raꞌy ma Salomão, Urias raꞌyxykue piꞌa vaꞌe."
40,1,7,"Salomão raꞌy ma Roboão, Roboão raꞌy ma Abias, Abias raꞌy ma Asa,"
40,1,8,"Asa raꞌy ma Josafá, Josafá raꞌy ma Jorão, Jorão raꞌy ma Uzias,"
40,1,9,"Uzias raꞌy ma Jotão, Jotão raꞌy ma Acaz, Acaz raꞌy ma Ezequias,"
40,1,10,"Ezequias raꞌy ma Manassés, Manassés raꞌy ma Amom, Amom raꞌy ma Josias,"
40,1,11,"Josias raꞌy ma Jeconias haꞌe tyvy kuery, Babilônia katy ogueraapaa jave py oiko vaꞌekue."
40,1,12,"Haꞌe gui Babilônia katy escravo-rã ogueraapaa ma rire oiko Jeconias raꞌy Salatiel, Salatiel raꞌy ma Zorobabel,"
40,1,13,"Zorobabel raꞌy ma Abiúde, Abiúde raꞌy ma Eliaquim, Eliaquim raꞌy ma Azor,"
40,1,14,"Azor raꞌy ma Sadoque, Sadoque raꞌy ma Aquim, Aquim raꞌy ma Eliúde,"
40,1,15,"Eliúde raꞌy ma Eleazar, Eleazar raꞌy ma Matã, Matã raꞌy ma Jacó."
40,1,16,"Haꞌe gui Jacó raꞌy ma Maria me José. Maria piꞌa ma Jesus, Cristo ꞌepy vaꞌe."
40,1,17,Haꞌe rami vy Abraão oiko guive Davi oiko peve ma catorze-kue hamymino ikuai. Haꞌe Davi oiko guive Babilônia katy escravo-rã ogueraapaa peve catorze-kue ju ikuai. Haꞌe gui Babilônia katy ogueraapaa guive Cristo oiko peve ma catorze-kue ju ikuai.
40,1,18,"Haꞌe gui Jesus ituiꞌiague ma po rami: José re ixyrã Maria omenda vaꞌerã oikovy jave, joupe ojekuaa uka eꞌỹ mbove oguerekoꞌi kyrĩ vaꞌe Nheꞌẽ Kyꞌa Eꞌỹ gui."
40,1,19,Haꞌe rã imerã José heko porã vaꞌe vy ndoikuaa ukaxei. Haꞌe rami vy onhembopyꞌa oeja aguã avave rei oikuaa eꞌỹ re.
40,1,20,"Haꞌe nunga re onhembopyꞌa oikovy. Haꞌe gui oexa raꞌu rã ixupe ojexa uka peteĩ anjo Senhor-a guigua. Haꞌe vy aipoeꞌi:— Davi ramymino José, ekyje eme Maria reraa aguã nderaꞌyxyrã, mbaꞌeta kyrĩ vaꞌe oguerekoꞌi vaꞌe ma Nheꞌẽ Kyꞌa Eꞌỹ guigua."
40,1,21,"Haꞌe ramo oikuavã ꞌrã peteĩ avaꞌi. Remboery ꞌrã Jesus, mbaꞌeta ojeupegua kuery ogueraa jepe ꞌrã heko vaia gui."
40,1,22,"Haꞌe nunga haꞌe javi ma ojeupity aguã profeta pe Senhor aipoeꞌi ukaague: “Peteĩ kunhataĩ eteꞌi oiko vaꞌe oguerekoꞌi ꞌrã kyrĩ vaꞌe, oikuavã ꞌrã avaꞌi. Haꞌe vaꞌe pe ma ‘Emanuel’ ꞌea ꞌrã.” Haꞌe vaꞌe tery ma “Nhanderuete nhandereve oiko” ꞌea."
40,1,24,Haꞌe rami rã José okeague gui ovy vy oiko Senhor-a guigua anjo aipoeꞌiague rami. Haꞌe vy ogueraa guaꞌyxyrã.
40,1,25,"Haꞌe rami avi oguereko rive ranhe, avaꞌi oikuavã eꞌỹa ja. Haꞌe vaꞌe ma omboery Jesus."
40,2,1,"Imbaꞌekuaa vaꞌe kuery oipouagueHuvixave Herodes oĩ jave, Judéia regua Belém tekoa py Jesus ituiꞌi rire ou amongue imbaꞌekuaa vaꞌe kuery. Kuaray oua katy gui ou Jerusalém tetã py."
40,2,2,Haꞌe kuery oporandu jogueruvy:— Mamo tu itui judeu kuery ruvixaverã oiko ramoꞌi vaꞌekue? Mbaꞌeta kuaray oua katy roexa karamboae ikuaa ukaa jaxy-tata. Haꞌe rami vy apy roju romboete aguã — heꞌi.
40,2,3,"Haꞌe nunga omombeꞌua rã huvixa Herodes oendu vy onhemondyi, Jerusalém py ikuai vaꞌe haꞌe javive reve."
40,2,4,Haꞌe rami vy oenoĩmba judeu kuery regua sacerdote yvatekueve vaꞌe haꞌe kuaxia re nhomboꞌe vaꞌety kuery. Haꞌe vaꞌe kuery pe oporandu mamo pa Cristo ituiꞌi ꞌrãa re.
40,2,5,"Haꞌe kuery ombovai:— Judéia regua Belém tekoa py ꞌrã ituiꞌi, mbaꞌeta po rami oĩ profeta ombopara vaꞌekue:"
40,2,6,"“Ndee Judá yvy regua Belém tekoa, Judá regua tetã tuvixakueve ikuai vaꞌe gui mbaꞌeve py naneꞌyvyĩvei, mbaꞌeta ndea gui ae ꞌrã oiko Joguerekoarã, xevygua Israel kuery re opena vaꞌerã”, heꞌi vaꞌekue."
40,2,7,Haꞌe nunga Herodes oendu vy imbaꞌekuaa vaꞌe kuery ju oenoĩ uka haꞌe aeꞌia py. Haꞌe kuery pe oporandu vy oikuaa pota rakaꞌe ete pa jaxy-tata ojekuaa ague re.
40,2,8,"Haꞌe gui Belém katy omondouka vy aipoeꞌi haꞌe kuery pe:— Tapeo, peikuaa pota porã avaꞌi reko re. Pejou vy ke pemombeꞌu uka xevy, xee voi aa aguã amboete vy — heꞌi."
40,2,9,"Haꞌe ramo huvixa ayvu haꞌe kuery oendupa vy ojeꞌoi. Haꞌe gui jaxy-tata kuaray oua katy ikuai teri reve oexa vaꞌekue ma haꞌe kuery renonde ju oaxa ovy, avaꞌi ituia áry ovaẽ peve. Haꞌe py ma opyta. Haꞌe kuery jaxy-tata oexa vy ovyꞌa ete."
40,2,11,"Oo py oike vy oexa avaꞌi, ixy Maria reve. Haꞌe rami vy guenapyꞌã re oĩ vy omboete okuapy, haꞌe mbaꞌemo porã oguenoẽ vy ixupe omeꞌẽ ogueru vaꞌekue: ouro, heakuã porã vaꞌe haꞌe mirra."
40,2,12,Haꞌe gui oexa raꞌu rã Nhanderuete oikuaa uka huvixa Herodes-a rupi veꞌỹ ojevy aguã. Haꞌe ramo tape mboae rupi ojevy oyvy katy.
40,2,13,"Egito yvy katy oguerojava heravyagueHaꞌe kuery ojeꞌoipa rire José oexa raꞌu jevy rã ixupe ojexa uka peteĩ anjo Senhor-a guigua. Haꞌe vy aipoeꞌi ixupe:— Epuꞌã ke, eraa avaꞌi haꞌe ixy. Pejava Egito yvy katy. Haꞌe py ma peiko xeayvu jevy eꞌỹa ja, mbaꞌeta Herodes oeka ta avaꞌi ojukaxe vy — heꞌi."
