Book,Chapter,Verse,Scripture
40,1,1,"O Evangelho de MateusJesus Cristo'ga ramonhava'eaAgwa ko Jesus Cristo'ga ramonhava'ea mombe'ua. Ymyahũ Tupana'ga e'i Jesus Cristo'ga pe: “Eko ti g̃anduvihavuhuhetero Cristoramo,” ei ga hako. Cristo xa'e nhande Jesus'ga pe a'ero. A'ereki ga nhanderuvihavuhuhete'ga. Jesus'ga ko Daviva'ea rakykwepoharamo Abraãova'ea rakykwepoharamo no."
40,1,2,Ymyahũ Abraãova'ea Isaqueva'ea po'ria hako.Isaqueva'ea Jacóva'ea po'ria.Jacóva'ea Judáva'ea po'ria Judáva'ea irũva'ea po'ria no.
40,1,3,Judáva'ea Peresva'ea po'ria Zerava'ea po'ria no. Tamarva'ea Peresva'ea yembora Zerava'ea yembora no.Peresva'ea Esromva'ea po'ria.Esromva'ea Arãova'ea po'ria.
40,1,4,Arãova'ea Aminadabeva'ea po'ria.Aminadabeva'ea Nasomva'ea po'ria.Nasomva'ea Salmomva'ea po'ria.
40,1,5,Salmomva'ea Boazva'ea po'ria. Raabeva'ea Boazva'ea yembora.Boazva'ea Obedeva'ea po'ria. Ruteva'ea Obedeva'ea yembora.Obedeva'ea Jesséva'ea po'ria.
40,1,6,Daviva'ea Salomãova'ea po'ria. Uriasva'ea rembirekokwerava'ea Salomãova'ea yembora. A'ereki Daviva'ea hembireko ahe pavẽi.
40,1,7,Salomãova'ea Roboãova'ea po'ria.Roboãova'ea Abiasva'ea po'ria.Abiasva'ea Asava'ea po'ria.
40,1,8,Asava'ea Josafáva'ea po'ria.Josafáva'ea Jorãova'ea po'ria.Jorãova'ea Uziasva'ea ramonhava'ea.
40,1,9,Uziasva'ea Jotãova'ea po'ria.Jotãova'ea Acazva'ea po'ria.Acazva'ea Ezequiasva'ea po'ria.
40,1,10,Ezequiasva'ea Manassésva'ea po'ria.Manassésva'ea Amomva'ea po'ria.Amomva'ea Josiasva'ea po'ria.
40,1,11,Josiasva'ea Jeconiasva'ea po'ria Jeconiasva'ea irũva'ea po'ria no. A'ea rupi Babilôniapeva'ea ruri otavuka Josiasva'ea re'yjava'ea pe ahe rerogwovo ogwyri pe he'yjuhuva'ea rerogwovo ahe mombytavo pevo. Babilôniapeva'ea ahe rerohorẽ Babilônia pe Jeconiasva'ea Salatielva'ea po'ria.Salatielva'ea Zorobabelva'ea po'ria.
40,1,13,Zorobabelva'ea Abiúdeva'ea po'ria.Abiúdeva'ea Eliaquimva'ea po'ria.Eliaquimva'ea Azorva'ea po'ria.
40,1,14,Azorva'ea Sadoqueva'ea po'ria.Sadoqueva'ea Aquimva'ea po'ria.Aquimva'ea Eliúdeva'ea po'ria.
40,1,15,Eliúdeva'ea Eleazarva'ea po'ria.Eleazarva'ea Matãva'ea po'ria.Matãva'ea Jacóva'ea po'ria.
40,1,16,Nahã ko Jesus Cristo'ga ramonha mombe'ua. Imbokwara'ara'ara'javame catorze ko Abraãova'ea rakykwepoharava'ea ojopy'rupy'ruavo. Aerẽ Daviva'ea ari. Daviva'ea arirẽ imbokwara'ara'ara'javame catorze ko Daviva'ea rakykwepoharava'ea ojopy'rupy'ruavo no. Aerẽ Josiasva'ea ari. Babilôniapeva'ea Josiasva'ea re'yjava'ea rerohoi Babilônia pe. Ahe rerohorẽ imbokwara'ara'ara'javame catorze ko aherakykwepoharava'ea ojopy'rupy'ruavo no. Aerẽ Cristo'ga ari.
40,1,18,Jesus Cristo'ga aragwera ko nahã. Jesus'ga yembora rera ko Maria. Mariava'ea po'ria ahe'yembora pavẽi omondo Mariava'ea Joséva'ea pe tahembireko ti hẽa ga pavẽi javo. Joséva'ea rembirekoa renonde Tupana'ga ra'uvapyryva Mariava'ea momburu'ai.
40,1,19,"Hembireko g̃werĩ Joséva'ea Mariava'ea pavẽi. Emo ikwahavame ahepuru'a Joséva'ea ojapyaka marã ti nehẽ javo. A'ero okokatuavo g̃waramo ahe ei oyvyteri pe: “Apohi po ti ji hẽa hugwi a'ero nehẽ. Ndapotari reki ji hẽambotegwetea,” ei ahe. “Nurã po ti ji pohinhimimi hẽa hugwi hẽa mombe'ue'yma g̃a pe,” ei ahe oyvyteri pe."
40,1,20,"A'ea rehe ahe japyakai. Kiro ahe kiri. A'ea rupi Tupana'gapyrive'ga yvagipeve'ga jipiukari Joséva'ea pe. Joséva'ea gwepia katu Tupana'gapyrive'ga okiri pe a'ero.—‍Terekyhyji ti enhimbirekohava hugwi Daviva'ea rakykwepoharamo, ei ga Joséva'ea pe. A'ereki pyry nde hẽa rerekoi. A'ereki Tupana'ga ra'uvapyryva hẽa momburu'a, ei ga."
