Book,Chapter,Verse,Scripture
40,1,1,"Jesus Cristo jógꞌjóg ve ag rán ke vẽ. Jesus Cristo vỹ tỹ Davi krẽꞌkrẽ nĩ, kỹ Davi vỹ tỹ Abraão krẽꞌkrẽ nĩ."
40,1,2,"Abraão vỹ Isaque han. Kỹ Isaque vỹ Jacó han. Kỹ Jacó vỹ Judá han, ti mré ke ag ke gé."
40,1,3,"Kỹ Judá vỹ Peres han. Zera ti ke gé. Ã prũ tỹ Tamar fi ki tóg ag hyn han, Judá ti. Kỹ Peres vỹ Esrom han. Kỹ Esrom vỹ Arão han."
40,1,4,Kỹ Arão vỹ Aminadabe han. Kỹ Aminadabe vỹ Nasom han. Kỹ Nasom vỹ Salmom han.
40,1,5,"Kỹ Salmom vỹ Boaz han, ã prũ tỹ Raabe fi ki. Kỹ Boaz vỹ Obede han, ã prũ tỹ fi ki. Kỹ Obede vỹ Jessé han."
40,1,6,"Kỹ Jessé vỹ pãꞌi mág tỹ Davi ẽn han.Kỹ pãꞌi mág tỹ Davi vỹ Salomão han, ã prũ ẽn fi ki, ũ tỹ Urias prũ ja nĩ ẽn fi ki."
40,1,7,Kỹ Salomão vỹ Roboão han. Kỹ Roboão vỹ Abias han. Kỹ Abias vỹ Asa han.
40,1,8,Kỹ Asa vỹ Josafá han. Kỹ Josafá vỹ Jorão han. Kỹ Jorão vỹ Uzias han.
40,1,9,Kỹ Uzias vỹ Jotão han. Kỹ Jotão vỹ Acaz han. Kỹ Acaz vỹ Ezequias han.
40,1,10,Kỹ Ezequias vỹ Manassés han. Kỹ Manassés vỹ Amom han. Kỹ Amom vỹ Josias han.
40,1,11,"Kỹ Josias vỹ Jeconias han, ti jãvy ag ke gé. Israel ag tỹ cidade Babilônia ra mũ ẽn kã tóg ag hyn han, Israel ag tỹ sigse kỹ mũ ẽn kã. Ag tỹ cidade ẽn tá vỹnvỹn ke kar kỹ Jeconias vỹ Salatiel han. Kỹ Salatiel vỹ Zorobabel han."
40,1,13,Kỹ Zorobabel vỹ Abiúde han. Kỹ Abiúde vỹ Eliaquim han. Kỹ Eliaquim vỹ Azor han.
40,1,14,Kỹ Azor vỹ Sadoque han. Kỹ Sadoque vỹ Aquim han. Kỹ Aquim vỹ Eliúde han.
40,1,15,Kỹ Eliúde vỹ Eleazar han. Kỹ Eleazar vỹ Matã han. Kỹ Matã vỹ Jacó han.
40,1,16,"Kỹ Jacó vỹ José han, Maria fi mén ẽn ti. Maria ẽn fi ki Jesus tóg mur ja nĩ, hã vỹ: Cristo, he mũ. Hã kỹ ag tóg 14 ke nỹtĩ, Abraão krẽꞌkrẽ ag, Davi mré nĩgkrén kỹ. Kỹ Davi krẽꞌkrẽ ag tóg 14 ke nỹtĩ gé, ag tỹ ag sigse kỹ nỹtĩ tá ag nĩgkrén kỹ, ag tỹ cidade tỹ Babilônia tá sigse kỹ nỹtĩ tá ag nĩgkrén kỹ. Tag pãte ag krẽꞌkrẽ vỹ 14 ke nỹtĩ gé, Cristo mré nĩgkrén kỹ. Cristo jógꞌjóg ve ag hã vẽ."
40,1,18,"Jesus Cristo mur vỹ ge nĩ, ha mẽ. Ti mỹnh fi vỹ tỹ José prũnh ke fi nĩ, hã ra fag tóg ver jagnẽ mré nỹ ja tũ nĩ. Ẽn kã fi tóg kufy nĩ ha. Topẽ kuprĩg tỹ fi mỹ gĩr han jan hã vẽ."
40,1,19,"Kỹ José tóg mẽg mũ sir, fi tỹ kufy nĩ ti, kỹ tóg ti mỹ e tĩ. Ũn jykré kuryj vẽ mỹr, José ti, hã kỹ tóg fi mỹꞌãg han sór tũ nĩ, kỹ tóg fi to vĩ tũ nĩ sir. Hã ra tóg fi pin kỹ fi mỹ: “kỹ inh hỹn ã tỹ prũ nĩnh ke tũ nĩ ha.” he sór mũ sir."
40,1,20,"Ti tỹ ver fi tovãnh to jykrén kỹ Topẽ tỹ jẽnẽ jafã tóg ti mỹ vẽnh ven mũ sir, ti vẽnh péti kỹ. Kỹ tóg ti mỹ: “José,” he mũ. “Tỹ ã Davi krẽꞌkrẽ ag kã ũ nĩ,” he tóg. “Maria fi to jykrén kónãn tũg nĩ. Jatun mỹ fi tỹ prũg nĩ, fi tovãnh tũg nĩ. Ũ tũ pijéꞌ, fi kósin ti. Topẽ kuprĩg tỹ fi mỹ han ja vẽ."
40,1,21,"Ti mur kỹ tóg gré nỹnh mũ, ha vemnĩ. Kỹ ti mỹ: Jesus, hemnĩ. Ã povo krenkren han jé tóg ke mũ, ag tỹ Topẽ vĩ mranh mũ ra,” he tóg, José mỹ, Topẽ tỹ jẽnẽ jafã ti."
40,1,22,"Hã ra Topẽ vỹ vãsỹ ã vĩ tó tĩ ũ mỹ tag tó ja nĩ, ha mẽ. “Ũn mén ja tũ fi vỹ kufy nĩnh mũ,” he ja tóg nĩ. “Fi kósin fi ki mur ken kỹ ag tóg ti to: Emanuel, henh ke mũ,” he ja tóg nĩ, Topẽ vĩ tỹ rán kỹ nĩ ki. Emanuel to ke vẽ, hã vỹ: “Topẽ vỹ ẽg ki rĩr há han mũ,” he mũ, ẽg vĩ ki, hã vỹ: Emanuel, he mũ. José vỹ Topẽ vĩ tag ve ja nĩ. Series, "
40,1,24,"Kỹ José tóg rĩr mũ sir, ti vẽnh péti kar kỹ. Kỹ tóg Topẽ tỹ jẽnẽ jafã ẽn vĩ ki króm mũ sir. Vẽnh prũg han tóg mũ, Maria fi mré."
40,1,25,"Hã ra tóg ver fi mré nỹ tũ nĩgtĩ. Kejẽn fi tóg ã kósin vég mũ. Kỹ José tóg ti jijin kỹ ti mỹ: Jesus, he mũ. Fi tỹ ti ve kar kỹ tóg vãhã fi mré nỹ mũ sir."
40,2,1,"Pãꞌi ag tỹ Jesus venh kãmũFi tỹ Jesus ve ẽn kã fag tóg cidade tỹ Belém tá nỹtĩ, ga tỹ Judéia tá. Herodes vỹ tỹ pãꞌi tỹ rei nĩ, fi tỹ ti ve ja ẽn kurã ki. Kỹ kejẽn ũ ag tóg Jerusalém tá junjun mũ. Kuvar há tá ag tóg kãmũ ja nĩ, rã jur ja tá, ãjag jamã tá. Ũn estudo mág han mũ ag vẽ, krĩg to ag tóg estudar he mág han tĩ."
40,2,2,"Ag tỹ Jerusalém tá junjun kỹ ag tóg sir: “ũ tỹ ũri mur mũ vỹ tỹ Israel ag pãꞌi mág nĩnh mũ,” he mũ. “Ti kri ẽg krĩg vé, ẽg tỹ ẽg jamã tá nỹtĩn kỹ, rã jur ja tá nỹtĩn kỹ. Ẽg tỹ ti venh kãmũ vẽ, ẽg tỹ ti mỹ nén ũ há vin sór vẽ. Ẽg hỹn hẽ tá ti venh ke mũ?” he ag tóg, ũ tỹ kuvar há tá kãmũ mũ ẽn ag."
40,2,3,"Ag vĩ tag vỹ pãꞌi tỹ Herodes mỹ e tĩ, kỹ tóg krĩ kufy nĩ sir. Jerusalém tá ke kar ag mỹ tóg e tĩ gé."
40,2,4,"Kỹ Herodes tóg Topẽ tũ ki rĩr tĩ to pãꞌi ag jé prẽr mũ sir, Topẽ vĩ to professor ag ke gé. Kỹ tóg ag mỹ: “Cristo hỹn hẽ tá mur ke mũ nẽji?” he mũ."
40,2,5,"Kỹ ag tóg ti mỹ: “Belém tá ke nẽji, ga tỹ Judéia tá,” he mũ. “Topẽ vĩ tó tĩ ũ vỹ vãsỹ ti to tag rán ja nĩ, ha mẽ,” he ag tóg."
40,2,6,"“Sĩ ti nĩ, cidade tỹ Belém ti, ga tỹ Judéia tá, he ja tóg nĩ. Ti sĩ nĩ ra tóg cidade mág ag kar kãfór kar nĩ, pãꞌi mág ẽn tỹ tá mur kenh ke tugrĩn. Pãꞌi mág ẽn vỹ tỹ ẽg povo tỹ Israel kri pãꞌi mág jẽnh ke mũ, ũ tỹ Belém tá mur ke mũ ẽn ti, he ja tóg nĩ, Topẽ vĩ tỹ rán kỹ nĩ ki,” he ag tóg, professor ag, Herodes mỹ. “Hã kỹ tóg Belém tá mur ke mũ, Cristo ti,” he ag tóg, professor ag."
40,2,7,"Kỹ Herodes tóg vẽnh péju kỹ fóg ẽn ag mré vẽmén mũ sir, ũ tỹ krĩg to estudo mág han mũ ẽn ag mré. Kỹ tóg ag mỹ: “kurã tỹ hẽ ki ãjag krĩg ẽn ve vén?” he mũ."
40,2,8,"Ag tỹ ti mỹ kurã tó kỹ tóg Belém ra ag jẽgnẽg mũ sir. “Ãjag tỹ tá junjun kỹ ti jãvãnh nĩ,” he tóg. “Vẽnh kar ki ti jẽmẽmnĩ. Ãjag tỹ ti ve kỹ inh mỹ tónh kãmũmnĩ. Kỹ sóg ti venh tĩg sór mũ gé, sỹ ti mỹ nén ũ há nĩm jé,” he tóg, Herodes ti."
40,2,9,"Ag tỹ pãꞌi ẽn vĩ mẽ kar kỹ ag tóg mũ mũ sir, Belém ra. Ag mũ ẽn ki ag tóg krĩg ẽn ve mãn mũ gé sir, ag tỹ rã jur ja tá krĩg vég mũ ẽn. Krĩg ẽn vỹ ag jo tĩ mũ. Ag tỹ Belém tá junjun kỹ krĩg tóg ũn sĩ nĩgja kri hã sa nĩ sir. Ag tỹ krĩg ẽn ve kỹ ag fe tóg mrin ke mũ sir."
40,2,11,"Ĩn kãra ge kỹ ag tóg ũn sĩ ti vég mũ, ti mỹnh fi ke gé. Kỹ ag tóg ti krẽm grĩnhgrĩnh ke mũ, ti mỹ: “tỹ ã Topẽ kósin nĩ,” he jé. Kỹ ag tóg sir ti mỹ ãjag tũ ti vin mũ, ouro ti, ka jẽnjo tỹ incenso ti ke gé, ẽg tỹ ti pũn kỹ ger há han jafã ẽn, kar kỹ ka tỹ mirra jẽnjo ke gé, ẽg tỹ ti pũn kỹ ger há han jafã ũ vẽ gé."
40,2,12,"Hã ra Topẽ tóg, ag vẽnh péti ki tóg ag mỹ: “Herodes mỹ tó tũg nĩ,” he mũ sir. Hã kỹ ag tóg ẽpry ũ jagma mũ mũ, ẽmĩn ũ jagma mũ kỹ ag tóg ãjag jamã ra vỹnvỹn ke mũ sir, rã jur ja ra."
40,2,13,"José fag tỹ vẽnh pigjuAg mũ kar kỹ José tóg kejẽn Topẽ tỹ jẽnẽ jafã vég mũ, ti vẽnh péti kỹ. Kỹ Topẽ tỹ jẽnẽ jafã tóg ti mỹ: “nĩ ra,” he mũ. “Ũn sĩ va tĩg, ga tỹ Egito ra, ti mỹnh fi mré. Herodes vỹ ũn sĩ tag tén sór mũ. Hã kỹ vẽnh péju kỹ Egito ra tĩg. Kejẽn sóg ã mỹ: ha vỹn ké, henh ke mũ. Egito tá inh vĩ jãvãnh nĩ,” he tóg, Topẽ tỹ jẽnẽ jafã ti, José mỹ. Ti vẽnh péti kỹ tóg ti mỹ ke mũ."
40,2,14,"Kỹ José tóg kuty ẽn kã jẽgnẽ kỹ fag tatĩn tĩ mũ sir, ga tỹ Egito ra, vẽnh péju jé."
