Book,Chapter,Verse,Scripture
40,1,1,Hesu Cristo Davi amyrĩ remiarirõ joapyri pyri voi. Ha Davi amyrĩ katu Abraão amyrĩ remiarirõ joapyri pyri voi. Hembypykwe héry kwéry a-rami.
40,1,2,Yma ete vaꞌekwe oiko vaꞌekwe Abraão amyrĩ. Taꞌýry jevy jevyha ko vaꞌe. Taꞌýry Isaque. Upéi Isaque raꞌy jevy Jacó. Upéi taꞌýry jevy Judá tyvýry kwéry ave.
40,1,3,"Upéi Judá raꞌy jevy, Perez tyvýry Zerá ndive oiko vaꞌekwe. Isy héry Tamar. Upéi Perez raꞌy jevy Esrom. Upéi taꞌýry jevy Arão."
40,1,4,Upéi taꞌýry jevy Aminadabe. Upéi taꞌýry jevy Naassom. Upéi taꞌýry jevy Salmom.
40,1,5,Upéi taꞌýry jevy Boaz. Isy katu héry Raabe. Upéi Boaz raꞌy jevy Obede. Isy katu héry Rute. Upéi Obede raꞌy jevy Jessé.
40,1,6,Upéi taꞌýry jevy mburuvixagwasu Davi.Upéixa Abraão amyrĩ-gwi mburuvixagwasu Davi amyrĩ peve oĩ vaꞌekwe quatorze heꞌýi joapyri pyri vaꞌekwe.Upéi Davi raꞌy jevy Salomão. Isy katu Urias rembirekokwe.
40,1,7,Upéi Salomão raꞌy jevy Roboão. Upéi taꞌýry jevy Abias. Upéi taꞌýry jevy Asa.
40,1,8,Upéi taꞌýry jevy Josafá. Upéi taꞌýry jevy Jorão. Upéi taꞌýry jevy Uzias.
40,1,9,Upéi taꞌýry jevy Jotão. Upéi taꞌýry jevy Acaz. Upéi taꞌýry jevy Ezequias.
40,1,10,Upéi taꞌýry jevy Manassés. Upéi taꞌýry jevy Amom. Upéi taꞌýry jevy Josias.
40,1,11,"Upéi taꞌýry jevy Jeconias tyvy kwéry ndive.Oiko jave Jeconias, heꞌýi kwéry ndive oipyhy-ma íxupe heraha-vy Babilônia yvy akéno-py.Upéixa Davi amyrĩ-gwi yvy akéno-py ojereraha hagwe peve oĩ vaꞌekwe quatorze heꞌýi joapyri pyri vaꞌekwe. Yvy akéno-py ojereraha rire, oiko vaꞌekwe Jeconias raꞌy Salatiel amyrĩ. Upéi taꞌýry jevy Zorobabel."
40,1,13,Upéi taꞌýry jevy Abiúde. Upéi taꞌýry jevy Eliaquim. Upéi taꞌýry jevy Azor.
40,1,14,Upéi taꞌýry jevy Sadoque. Upéi taꞌýry jevy Aquim. Upéi taꞌýry jevy Eliúde.
40,1,15,Upéi taꞌýry jevy Eleázar. Upéi taꞌýry jevy Matã. Upéi taꞌýry jevy Jacó.
40,1,16,"Upéi taꞌýry jevy José. Haꞌe Maria ména. Upe Maria Hesu sy voi. Hesu héry ave Cristo, Nhandejáry rembiporavokwe voi, judeu kwéry remihaꞌarõ vaꞌe voi. Upéixa yvy akéno-py ojereraha hagwe-gwi Cristo peve oĩ vaꞌekwe quatorze heꞌýi joapyri pyri vaꞌekwe."
40,1,18,"Hesu Cristo oikomaha a-rami. Oiko vaꞌekwe Maria isyrã José rembirekorã. Omenda eꞌỹ mboyve, oikwaa-ma vaꞌekwe omembyrã. Omeꞌẽ-ma vaꞌekwe íxupe imembyrã Nheꞌẽ Marangatu tee vaꞌe. Ndahaꞌéi kwimbaꞌe-gwi."
40,1,19,"Ha imenarã José katu tekoha-rupi voi oiko vaꞌe. Oikwaa gwembirekorã imemby-tagwi, opoise moꞌã íxugwi: “Imemby rei-ta xe rembirekorã” heꞌi moꞌã. “Xe ndaꞌe moꞌãi joty mbaꞌeve atýra-py” heꞌi ojéupe ojepyꞌamongeta-vy. Upéa-gwi, “Apoi nhemi-ta íxugwi” heꞌi moꞌã ojéupe."
40,1,20,"Pyhare onhemongeta haꞌe ae opyꞌa ndive: “Mbaꞌéixa po apoi-ta íxugwi?” heꞌi heꞌi ojéupe. Upéi ikéra-py ojehexa uka íxupe Nhandejáry rembigwái yváy pygwa:—Nde, José, Davi remiarirõre, heꞌi ohenói-vy íxupe. —Eraha katu Maria-pe nde róga-py ne rembirekorã. Ani katu eretĩ teĩ ereiko-vy indive. Ani erenotĩ teĩ ne rembirekorã ogwereko-ta vaꞌe mitã, heꞌi íxupe. —Nheꞌẽ Marangatu tee vaꞌe-rupi ae ogwereko-ta upe vaꞌe mitã, heꞌi íxupe."
40,1,21,"—Oiko-ta imemby kwimbaꞌe vaꞌe. Gweꞌýi kwéry-gwi omboyke vaꞌerã hembiapo vaikwe, heꞌi íxupe ikéra pygwa. —Upéa-gwi erehenói vaꞌerã íxupe Hesu-py. Pene resendeharã-gwi embohéry íxupe Hesu, heꞌi íxupe Nhandejáry rembigwái ikéra-py imombeꞌu-vy."
40,1,22,
40,1,24,Koꞌẽmba rire opáy-ma José. Ohendupa-ma Nhandejáry nheꞌẽ. Ogweraha-ma Maria gwóga-py gwembirekorã moꞌã.
40,1,25,"Hembireko jepe, gwembireko eꞌỹ-rami joty ogwereko. Omboete-gwi íxupe, ogwereko mombyry joty íxupe. Ndokéiry vyteri hendive. Ha upe rire ae katu imemby kwimbaꞌe oiko-ma rire, ogwereko ete-ma katu gwembireko-pe, ojeheꞌa tee-ma hese. Ãy katu oiko tee gwembireko ndive. Maria memby rypykwe-pe, “Hesu” heꞌi ombohéry-vy íxupe."
40,2,1,"Kwarahy resẽ-gwi ogwahẽ ou-vy hiꞌarandu eterei vaꞌeHa upéi katu Herodes mburuvixagwasu ramo oiko jave, oiko-ma Hesu. Belém tetã-my, Judéia yvy-py oiko-ma. Upe jave ogwahẽ-ma ou-vy Jerusalém tetã-my mombyrygwa hiꞌarandu eterei vaꞌe. Mombyry-gwi kwarahy resẽ-gwi ou raꞌe:"
40,2,2,"—Kipy tipo oime mitãꞌi judeu kwéry ruvixagwasurã oiko vaꞌekwe? heꞌi oporandu-vy. —Pe mitãꞌi oikomaha kwaa ukaha vaꞌe jasytata ojeupi oho-vy ramo kwarahy resẽ-my, orohexa-ma vaꞌekwe. Upéa-gwi mitãꞌi-pe oroju oromboete-vy, heꞌi Jerusalém tetã mygwa-pe."
40,2,3,"Judeu ruvixarã rerakwã ohendu-ma ramo judeu ruvixagwasu Herodes, onhemondýi voi. Ndaipyꞌagwapyvéi-ma voi upéa oikwaa ramo. Entéro Jerusalém tetã mygwa gwive onhemondyipa hikwái. Ndaipyꞌagwapyvéiry oikwaa ramo upéa hikwái."
