Book,Chapter,Verse,Scripture
40,1,1,"Deuxu Rybe Wihikỹ Tỹmyra, Mateu TyyritidỹỹduKaheka Jesuisi Kristu labiehekỹ rare. Juhuu tahe Abraõ heka Davi labiehekỹ rare. Iribi tahe Davi heka Jesuisi Kristu labiehekỹ rare."
40,1,2,"Ibutumy ilabiebohonimy arelyykre. Juhuu tybynimy arelyykre idi iriòrenimy: Abraõ, Ijai, Ijaò,"
40,1,3,"Juda, Peresi, Peresi seriòre tahe Zera inire. Isereny tahe Tamara inire. Esraõ,"
40,1,4,"Araõ, Aminadabe, Nasaõ, Salmaõ,"
40,1,5,"Boasi, Raabe, Boasise rare. Obede, Rute, Ijese, Kie."
40,1,6,Davi hãwyy heka Uria hãwyy juhuu raremyhỹ. Iribi Davi‑wana roire. Salomaõ iriòre rare. Tii heka Roaboaõ tyby rare.
40,1,7,Idi Abia reare.
40,1,8,"Idi Asa, Josafa, Joraõ,"
40,1,9,"Uzia, Jòtaõ, Aka, Ezekia,"
40,1,10,"Ezekia, Manase, Amo,"
40,1,11,"Josia, Jekonia, taseriòre‑wana. Babilonia‑ribi rohonyreu tahe tiiboho reare, Jekonia riòre wahe: Salatieli Tii Babilonia‑ki reare. Zorobabe,"
40,1,13,"Abiude, Eliaki, Azo,"
40,1,14,"Sadòki, Aki, Eliude,"
40,1,15,"Eliaza, Matỹ, Ijaò,"
40,1,16,"Ijaò tahe Jyje tyby rare, Jyje tahe Marie hãbu. Jesuisi tahe Kristu Deuxu deòdỹỹna rare. Kia labiehekỹ sõwe tahe 14my rare, Abraõ‑ribi Davi‑ò wahe. Tule labieboho 14my rasõwerenyre Davi‑ribi Babilonia hãwã‑ò ridyreny ixideewimy aõkõ ròte‑ò. Ixyby 14my rasõwerenyre. Iribi tahe Jesuisi reare."
40,1,18,Kawese heka Jesuisi Kristu reare. Juhuu Marie Jyje‑wana roikremy rare. Tii ijadòmaule tahe Deuxu Tyytybytyhy ribòtònyre.
40,1,19,Jyje hãbu òbiti rare. Tai tahe riixãwididỹỹnykemy rõhõtinyre. Kia õmo‑ò rarybeõlere tuu.
40,1,20,"Kiau ỹju tamy rarybere tarasina‑ki: —Jyje, Davi riòre riòre. Ahãwyy, Marie, biteònyõke. Tuu bexihãwyynykre. Iriòre dori Deuxu Tyytybytyhy riòre rare."
40,1,21,Jesuisimy raninykre. Kiani tahe irybereny rare: tarasadu. Ibutumy iny dori iòraruna‑ribi ritakre.
40,1,22,"Iwese Deuxu rybe ihetxiu rarybere wese tahe tii wiji riwinyre. Kia wese ihetxiu rybe rare:Deuxu iny‑wana ratxireri. Series, "
40,1,24,Iribi tahe Jyje dexixade tarasina‑ribi. Iwese Inynyrỹreny tuu tamy rarybere wesemy heka tii riwinyre. Tii‑wana ratxiõre. Tii aõhe risỹnyõre.
40,1,25,"Uladu reare xiery tii aõhe rira. Tamy niõ riwahinyre, Jesuisi wahe."
40,2,1,"Belẽ hãwã‑ki Jesuisi reare, Judeia bede‑ki wahe. Iòlò Herodi iòlòmy raremyhỹ. Iu reareu, Hãbu Erytyhy mahãdu taina tỹmyramy robirenyre. Tai tahe iòlò mahãduõ doidenyde biura‑ribi Jerusalẽ hãwã‑ò."
40,2,2,Tiiboho rỹỹraxirenyre: —Iule judeu mahãdu iòlò aõbo kaki reare. Jiarỹboho itainamy rabirenyre tahe nadoidenyde riwowydynyrenykemy. Kaiboho teerytenyte aõbo titxibo ratxireri?
40,2,3,Tahe inyõ Herodiko relyyrenyre. Herodi kia roholareu sõwemy riòtiinyre. Tule ibutumy Jerusalẽ hãwã mahãdu riòtiinyrenyre.
40,2,4,"Tahe Herodi ibutumy dinodu mahãdu ributunyre: Xiwena wahidỹỹdu dinodu, bede ywina tyyriti erydu mahãdu tule. Tahe tamyreny rỹỹraxire: —Titxibo Kristu reakemy timybo tyyriti‑ki ròritidỹỹmy roire?"
40,2,5,"Tiiboho tamy rarybere: —Judeia bede‑ki, Belẽ hãwã‑ki wahe. Kia tahe ihetxiu rybedu riritinyre."
40,2,6,"—Kai Belẽ hãwã mahãdu. Judeia bede hãwãõ. Kai hãwã yja iny rõhõtinyre. Tahe inatyhy aõkõ rare. Kai hãwã nihikỹre. Aribi dori dinoduõ ròhònykre. Wamahãdu iòlòmy ronykre. Idinodumy rarekre, judeu mahãdu dinodu wahe."
40,2,7,Tahe Herodi heka biura mahãdu ributunyre ibutumy iny‑ribi wasimy. Tamy rỹỹraxire: —Tiutxubo taina ròhònyre? Tahe rirawyònyre.
40,2,8,Tamyreny rarybere: —Kaiboho boibenyke Belẽ hãwã‑ò. Idi tahe uladu‑ki mahabenykre. Iu wadee manarybebedenykre. Jiarỹ tule tamy arakre ariwowydynykremy.
40,2,9,Biura Hãbu Erytyhy mahãdu roholarenyre. Tahe roirenyre. Ryki ixityre tainamy robirenyre. Uladu tyrehekỹle ritoosònyre. Iu tahe sõwemy reysarenyre.
40,2,11,"Heto‑ò rehemynyre. Tahe ralorenyre. Uladu rare Marie‑wana. Tahe tatiowotimy reserenyre riwowydynykemy. Isaureny riraynyre tamy riwahinykremy: womati tỹrỹrỹhỹkỹ, hee aderòna, aderònatyhy wana."
40,2,12,Idi tahe Biura Hãbu Erytyhy mahãdu rarasinyre. Deuxu tamy rarybere: —Kaiboho Herodi‑ò bòòsebenyõke. Tai tahe rywitxira‑di tasubedereny‑ò ròòserenyre.
40,2,13,"Biura mahãdu tahe ròireny rahudi tahe Inynyrỹ ỹju nade Jyje‑ò rybemy, irasina‑ki tamy rarybere: —Ariòre, ise‑wana bidyke Egito bede‑ò. Herodi dori uladu rubudỹỹmy ratxireri. Adee tiu ararybekreule kaò bòdòòseke."
40,2,14,Tai Jyjeboho rumy rahenyrenyre Egito bede‑ò.
40,2,15,"Herodi rubusỹtybymy tahe dòòsedenyde. Tii riwinyre iwese ihetxiu tyyriti rarybere wese, Deuxu rybedu rybe wahe:—Wariòre Egito bede‑ribi nadidyde. Herodi reburere. Biura Hãbu Erytyhy mahãdu dori tii riitxenanyre. Tai ibutumy uladu rirubunyre Belẽ hãwã‑ki, tule ijõ iòhò hãwã‑ki. Ibutumy howỹtòdu rirubunyre inataõ beòra ijõdikeki tahe rirubunyõre. Tai Jesuisi rirubunykemy risỹnyre, iwese tii rareu Biura Hãbu Erytyhy mahãdu tamy rarybere. Kiamy ta rỹire iwese Deuxu rybedu rarybere wese, Jeremia wahe: —Rama hãwã‑ribi ibru‑ò iny roholamyhỹre. Rakeli rare. Tii robumyhỹre. Ibutumy iriòre ituere. Tai robumyhỹre. Inyõ riteysanyõtyhy iriòre rurureki. Herodi tahe rurureu, Inynyrỹ ỹju heka Jyje rasina‑ki tamy nade. Tamy rarybere: —Bòòsebenyke judeu bede‑ò. Uladu ise‑wana bidyke. Kia rirubunykemy risỹnymyhỹré tahe, rurure."
40,2,21,Tahe Jyjeboho ròirenyre judeu bede‑ò.
40,2,22,"Akelau tahe Herodi riòre ronyre iòlòmy, tyby deròwymy. Tai kowa‑ò Jyje ròirenyõre sỹmy. Rasina‑ki rybeõ rieryre Kalileia‑ò ròirenykemy. Tai tahe ròirenyre kowa‑ò."
40,2,23,Nazare hãwã‑ki rasỹnyrenyre. Kia tahe riwinyre iwese Inynyrỹ rybedu ihetxiu rarybere wese: —Nazare ludu tii rarekre.
40,3,1,Kiau Judeia bederahy‑ki Joaõ Sebedỹỹdu heka iny‑ò rarybemyhỹre:
40,3,2,"—Deuxu Iòlòna bededỹỹnana iòhòmy ratxireri. Aòraruna‑ribi biixãwibenyke, bexirãhĩke! Joaõmy heka Isaia ihetxiu riritinyre kawese:Inyõ bederahy‑ki ryryreri: —Inynyrỹ dee ryòbiti biwinyke. Biywinyke ryõ tamy kanakemy."
40,3,4,Joaõ kamelo radetyy ityy rare. Iròdutyy iwereysanare. Seihikỹle bidi‑wana irỹsỹna rare.
40,3,5,"Ibutumy iny tamy ròirenyre irybe‑ò roholakemy iòhò hãwã‑ribi, Jerusalẽ, Judeia, Jordaõ bero‑ribi wahe."
40,3,6,Tamy òrarunamy relyyrenyre rabedewomy tamy relyyrenyre. Tai tahe Joaõ heka bero Jordaõ‑ki tii riratysebenyre.
40,3,7,"Fariseu mahãdu, saduseu mahãdu doide tamy riratysebenykemy. Kiau Joaõ tamyreny rarybere: —Hemylala mahãdu! Deuxu aõhõkỹmydỹỹnana‑ribi mahenybenyõtyhy. Aõhe inatyhy?"
40,3,8,Juhuu aõwiwihikỹ widỹỹna biwinybeny. Tai tahe iny rierykre kaiboho aòraru‑ribi inatyhymy texihutenyte.
40,3,9,"Fariseu mahãdu, kaiboho tahõtinytenyte: Abraõ heka inylabiehekỹreny rare. Rikirãhĩõtyhy. Deuxu‑ò kia aõ aõkõ rare. Tamy wikeki mana‑ribi Deuxu heka Abraõ riòkòreõ riwinykre."
40,3,10,"Woma tahe òwòru‑ribi iòhòmy rỹira. Òwòru bederaty wiwihikỹ ihoõkeki, kedesekre. Rasõkre. Woma heka Deuxu aõhõkỹmydỹỹnana wese rare."
40,3,11,Jiarỹ bedi araratisebedỹỹnyra aòraruna‑ribi texirãhĩteki. Jesuisi tahe Deuxu Tyytybytyhy‑di ròratisebedỹỹkre heòty‑wana riratysebenykre. Tii waratyre awityhymy ratxireri. Jiarỹ riwaixỹrunymy watxireri iwa ariwykeki.
40,3,12,Tii maixõmo risykre. Maixõmo ributunyre tahyna‑ò. Irỹnysi heòty‑di riworonykre. Heòty itueõna heka rare.
40,3,13,Idi tahe Kalileia bede‑ribi Jesuisi nade bero Jordaõ‑ò. Tii Joaõ‑ò nade riratysebenykremy.
40,3,14,Joaõ aõkõmy rarybere: —Jiarỹ tahe aõ aõkõ rare. Kai biwaratysebenyke.
40,3,15,Jesuisi tahe tamy rarybere: —Deuxu deewina heka kia rare. Rikiwinykre. Tahe Joaõ riratisebedỹỹre.
40,3,16,"Ròratisebenymy rahudi tahe Jesuisi ròtuòra. Biuwetyy rarayre Jesuisi tahe bòtòenimy robire, itxi dobehede, Deuxu Tyytybytyhy wahe. Rybeõ biu‑ribi narybede: —Kia heka Wariòre rare. Jiarỹ heka sõwemy tukure. Idi wadeysareri."
40,4,1,"Idi tahe Deuxu Tyytybytyhy heka Jesuisi ridyre bederahy‑ò. Tai Satanasi riurihikemy tamy rehemynyre. Jesuisi heka 40 txumy, 40 rumy heka aõ rirỹsỹõhyy bede idi rỹire. Sõwemy heka rama risamy tai raremyhỹ. Taile Satanasi tamy nade. Tahe iurihiximy tamy rarybere:—Kai inatyhy Deuxu Riòre ahãte wana heka mana‑di orotxumy biwitxiranymy biwinyke ahinamy."
40,4,4,Tahe Jesuisi dirawyònyde: Deuxu Ritidỹỹna‑ki kiamy roire: —Iny heka orotxudile aõkõ irumy rỹirakre. Ibutumy Deuxu rybedile iny irumy rỹirakre.
40,4,5,Idi Satanasi heka Jesuisi ridyre Jerusalẽ hãwã‑ò. Templo heto ratyre tahe ritidire.
40,4,6,Tahe tamy rarybere:—Kai inatyhy Deuxu Riòre ahãte wana heka katyre‑ribi ixi‑di behukre bede‑ò. Buruõtyhy heka besekeki. Deuxu taỹju kiditeònykre aramykemy. Bede‑ò aõkõ beseke.—Deuxu araywinykre taỹju‑di. Tii ỹju kiditeònykre tebò‑di ariijekemy. Awa ritõmonyõtyhy manatyre‑ki.
40,4,7,Jesuisi rirawyònyre: —Tyyriti tule rarybere:—Deuxu uritere biurihiõke.
40,4,8,"Iribi Diabo heka Jesuisi ridyre hãwãlòõ‑ò. Tamy ibutumy bede iòlòna riteòsinyre. Tahe tamy Satanasi rarybere: —Beseke atiowotimy tahe biwawowydynykeki, adee kia ibutumy iòlòna wiwihikỹ ariwahinykre."
40,4,10,"—Make Satanasi, Jesuisi rarybere: —Tyyriti rarybere:—Deuxu‑ò sohojile deàlàna, wowydyna biwahinyke. Tiile bityhynykre. Deòdu tamy sohojile mabeke."
40,4,11,Satanasi tahe Jesuisi‑ribi rexitare. Ỹju mahãdu rehemynyre iyrubudỹỹmy.
40,4,12,"Joaõ òludu heka ròtenawo‑ki ritidira. Kia Jesuisi roholareu, Kalileia bede‑ò ròòsere."
40,4,13,"Nazare‑ribi rare Kafanaõ hãwã‑ki rasỹnykremy rare. Tii aho‑ki iòhòre, Kalileia aho wahe. Zebulõ bede, Natali bede tahe inatxi hãwã ibiòwa rare."
40,4,14,"Kia tahe Isaia Tyyriti rarybere wese: —Zebulõ bede, Natali bede, Jordaõ bero kowawe‑ribi ijà‑ò. Ahohokỹry‑ki. Kai judeukõdu mahãdu bede rare, Kalileia wahe. Iny kowasỹ mahãdu bede luru‑ki rasỹnymyhỹre. Tahe tiiboho loosònahakỹmy robirenyre. Bede lurusỹ mahãdu‑ki tahe Deuxu loosòna ritoosònyre."
40,4,17,Iribi tahe Jesuisi ritelenyre Deuxu rybe ritỹnynykemy. Tii rarybere: —Aòraruna‑ribi bexirãhĩke. Deuxu Iòlòna bededỹỹnana dori iòhòmy ratxireri.
