Book,Chapter,Verse,Scripture
40,1,1,ꞌAgamũ Jejui Kristu ꞌga pytunera ꞌgã. Abraão ꞌga juapyrera ꞌga Davia. Davi ꞌga juapyrera ꞌga Jejui Kristua.
40,1,2,"Abraão ꞌga Isaki ꞌga ruwa.Isaki ꞌga Jako ꞌga ruwa.Jako ꞌga Juda ꞌga ruwa, ꞌga rewirera ꞌgã netee."
40,1,3,"Juda ꞌga Peres ꞌga ruwa, Sera ꞌga retee. ꞌGã y ẽẽ rera Tamar.Peres ꞌga Esrom ꞌga ruwa.Esrom ꞌga Arão ꞌga ruwa."
40,1,4,Arão ꞌga Aminatape ꞌga ruwa.Aminatape ꞌga Nasom ꞌga ruwa.Nasom ꞌga Saumõ ꞌga ruwa.
40,1,5,Saumõ ꞌga Poasi ꞌga ruwa. Poasi ꞌga y ẽẽ Raape ẽẽ.Poasi ꞌga Opete ꞌga ruwa. Opete ꞌga y ẽẽ Rute.Opete ꞌga Jese ꞌga ruwa.
40,1,6,Davi ꞌga Uri ꞌga remirekofera ẽẽ rerekou. ꞌGã naꞌyra ꞌga Sarumãu ꞌga.
40,1,7,Sarumãu ꞌga Ropoãu ꞌga ruwa.Ropoãu ꞌga Apiasi ꞌga ruwa.Apiasi ꞌga Asa ꞌga ruwa.
40,1,8,Asa ꞌga Josafa ꞌga ruwa.Josafa ꞌga Jorãu ꞌga ruwa.Jorãu ꞌga Usiasi ꞌga ruwa.
40,1,9,Usiasi ꞌga Jotãu ꞌga ruwa.Jotãu ꞌga Akasi ꞌga ruwa.Akasi ꞌga Esekiasi ꞌga ruwa.
40,1,10,Esekiasi ꞌga Manase ꞌga ruwa.Manase ꞌga Amom ꞌga ruwa.Amom ꞌga Josiasi ꞌga ruwa.
40,1,11, Papironi ywy pe weroo re Jekoni ꞌga waꞌyramũ.Jekoni ꞌga Saratieu ꞌga ruwa ꞌga.Saratieu ꞌga Soropapeu ꞌga ruwa.
40,1,13,Soropapeu ꞌga Apiute ꞌga ruwa.Apiute ꞌga Eriakĩ ꞌga ruwa.Eriakĩ ꞌga Aso ꞌga ruwa.
40,1,14,Aso ꞌga Satoki ꞌga ruwa.Satoki ꞌga Akĩ ꞌga ruwa.Akĩ ꞌga Eriute ꞌga ruwa.
40,1,15,Eriute ꞌga Eriesa ꞌga ruwa.Eriesa ꞌga Matã ꞌga ruwa.Matã ꞌga Jako ꞌga ruwa.
40,1,16, Abraão ꞌga remyminũ juapyret awau ojemomytuna katosi rakue. Awau owaẽma Davi ꞌga upe rakue. Aꞌeramũ Davi ꞌga remyminũ juapyrera nãnẽwẽjẽmĩ ojemomytuna katosi rakue. Awau owaẽma Papironi ywy pe ꞌgã nerooawa upe. Papironi ywy pe weroo re ꞌgã nãnẽwẽjẽmĩ ꞌgã nemymĩnũ juapyrera ojemomytuna katosi rakue. Awau owaẽma Kristu ꞌga iꞌaawa upe.
40,1,18,"Nan Janeruwarete ꞌga Jejui Kristu ꞌga muri ywy pe rakue. Janeruwarete ꞌga ꞌAgesagea Jejui ꞌga mua Mari ẽẽ upe rakue, ẽẽ raꞌyramũ rakue. Mari ẽẽ merama ꞌga Jose ꞌga. Aꞌere Jose ꞌga ẽẽ rerekoeꞌemauwe Janeruwarete ꞌga ꞌAgesagea kunumĩ muri ẽẽ upe rakue."
40,1,19,"“Mari ẽẽ taꞌyt” ꞌe kwaapawe Jose ꞌga ꞌjau ojeupe: “Najeraꞌyra rũi futat. Nakoi we je ẽẽ ree”, ꞌjau ꞌga ojeupe. “Narekokatui je ẽẽ ꞌawamũ. Maran ajee je ẽẽ rerekoi ꞌawamũ ꞌũ? Namomeꞌuaꞌuweri je ẽẽ ꞌgã nupe. ‘Taꞌyr ẽẽ’ ꞌe kwaaweꞌemauwe pa je ẽẽ retygi kwy”, ꞌjau ꞌga ojeupe. Jose ꞌga esage maꞌea. Aꞌjeteetewi tee ꞌga mamaꞌe apoi rakue. Aꞌeramũ ꞌga aꞌeramũ oporerekowereꞌemamũ ẽẽ ree. Aꞌere ꞌga nafutari ẽẽ mojenosĩa nanẽ nũ."
40,1,20,"Wemiaporam are ꞌga weaꞌaramũ oser enune. ꞌGa ser ire Janeruwarete ꞌga pyriwara ꞌga amũ ꞌua ojesaukaa ꞌga upe, ꞌga fayupaw ipe. Aꞌeramũ ꞌga ojeꞌega Jose ꞌga upe, judeu ꞌgã ꞌwyriat ymanera ꞌga juapyrera ꞌga upe, Davi ꞌga juapyrera ꞌga upe:—Kuꞌjywa ꞌga ꞌAgesagea te kunumĩ amut Mari ẽẽ upe. Aꞌeramũ ene epyꞌaꞌwyreꞌemamũ ẽẽ ree. “Narekoi je ẽẽ”, ere awi."
40,1,21,Kũimaꞌea futat ẽẽ raꞌyra ꞌga. ꞌGa ꞌaramũ ene ꞌga reꞌroka. ꞌGa futat ꞌut opytuna ꞌgã tywera moiawamũ ꞌgã nui. Aꞌeramũ ene Jejui nuga ꞌga ree— ꞌjau ywagipewara ꞌga Jose ꞌga fayupaw ipe ꞌga upe.Grego ꞌgã jeꞌeg imũ aekatuꞌokat ꞌea futat poromũ Jejui ꞌea.
40,1,22," ꞌea Janeruwarete ꞌga ako jane pyri ꞌea futat. Uꞌeawer imũ etee futat Janeruwarete ꞌga Jejui ꞌga muri kũjãmuku ẽẽ mũ upe. - Series, "
