Book,Chapter,Verse,Scripture
40,1,1,Sîrîrî wanî penaronkon Jesus Cristo rawîronkon pîꞌ teeseurîmasen pe. Jesus Cristo wanî Abraão nurîꞌtî paꞌrî pe moropai Davi nurîꞌtî paꞌrî pe ekaremeꞌnen pe awanî.
40,1,2,Pena Abraão wanîꞌpî.Mîîkîrî wanîꞌpî Isaque yun pe.Moropai Isaque wanîꞌpî Jacó yun pe.Moropai Jacó wanîꞌpî Judá yun pe moropai itonpayamîꞌ yun pe.
40,1,3,"Moropai Judá wanîꞌpî monoiꞌ pe esenpoꞌsan yun pe, toꞌ eseꞌ wanîꞌpî Perez moropai Zerá. Inkamoro yankon wanîꞌpî iteseꞌ Tamar.Moropai Perez wanîꞌpî Esrom yun pe.Moropai Esrom wanîꞌpî Arão yun pe."
40,1,4,Moropai Arão wanîꞌpî Aminadabe yun pe.Moropai Aminadabe wanîꞌpî Naassom yun pe.Moropai Naassom wanîꞌpî Salmom yun pe.
40,1,5,Moropai Salmom wanîꞌpî Boaz yun pe. Mîîkîrî yan wanîꞌpî Raabe.Moropai Boaz wanîꞌpî Obede yun pe. Mîîkîrî yan wanîꞌpî iteseꞌ Rute.Moropai Obede wanîꞌpî Jessé yun pe.
40,1,6,"Moropai Jessé wanîꞌpî Davi yun pe, pata esaꞌ pe tîweꞌsen.Moropai Davi wanîꞌpî Salomão yun pe. Mîîkîrî yan wanîꞌpî Urias noꞌpî rîꞌpî pe."
40,1,7,Moropai Salomão wanîꞌpî Roboão yun pe.Moropai Roboão wanîꞌpî Abias yun pe.Moropai Abias wanîꞌpî Asa yun pe.
40,1,8,Moropai Asa wanîꞌpî Josafá yun pe.Moropai Josafá wanîꞌpî Jorão yun pe.Moropai Jorão wanîꞌpî Uzias yun pe.
40,1,9,Moropai Uzia wanîꞌpî Jotão yun pe.Moropai Jotão wanîꞌpî Acaz yun pe.Moropai Acaz wanîꞌpî Ezequias yun pe.
40,1,10,Moropai Ezequias wanîꞌpî Manassés yun pe.Moropai Manassés wanîꞌpî Amom yun pe.Moropai Amom wanîꞌpî Josias yun pe.
40,1,11,Moropai Josias wanîꞌpî Jeconias yun pe moropai itonpayamîꞌ yun pe. Mîrîrî yai Babilônia pata pona Israelponkon yaapîtîꞌpî Babilônia ponkonya tîpoitîrîkon pe toꞌ eꞌtoꞌpe itarumaiꞌpî pe. Babilônia pona toꞌ yarîꞌpî toꞌya tanne Jeconias wanîꞌpî. Mîîkîrî Jeconias wanîꞌpî Salatiel yun pe.Moropai Salatiel wanîꞌpî Zorobabel yun pe.
40,1,13,Moropai Zorobabel wanîꞌpî Abiúde yun pe.Moropai Abiúde wanîꞌpî Eliaquim yun pe.Moropai Eliaquim wanîꞌpî Azor yun pe.
40,1,14,Moropai Azor wanîꞌpî Sadoque yun pe.Moropai Sadoque wanîꞌpî Aquim yun pe.Moropai Aquim wanîꞌpî Eliúde yun pe.
40,1,15,Moropai Eliúde wanîꞌpî Eleazar yun pe.Moropai Eleazar wanîꞌpî Matã yun pe.Moropai Matã wanîꞌpî Jacó yun pe.
40,1,16,"Moropai Jacó wanîꞌpî José yun pe. Mîîkîrî José wanîꞌpî Jesus Cristo yan Maria niyo pe. Mîîkîrî Jesus wanî Paapa nîmenkaꞌpî pe, Cristo pe tesaꞌsen pe. Sîrîrî warantî Abraão nurîꞌtî payanîꞌsan wanîꞌpî. Inkamoro wanîꞌpî asakîrîrî puꞌ pona tîîmoꞌtai 14 kaisarî. Moropai Davi nurîꞌtî payanîꞌsan wanîꞌpî Babilônia pata pona Israelyamîꞌ yarî toꞌya pîkîrî toꞌ wanîꞌpî asakîrîrî puꞌ pona tîîmoꞌtai 14 kaisarî nîrî. Moropai mîrîrî tîpo Cristo esenpotoꞌ weiyu pîkîrî asakîrîrî puꞌ pona tîîmoꞌtai 14 kaisarî nîrî toꞌ wanîꞌpî."
40,1,18,Jesus Cristo esenpotoꞌ wanîꞌpî sîrîrî warantî. Maria tîîse maasa tîniyotapa tînyo ton José yarakkîrî. Tîîse irawîrî more yan pe eenasaꞌ wanîꞌpî Morî Yekaton Wannî winîpai.
