Book,Chapter,Verse,Scripture
40,1,1,"Yeyox Kunnix yõg mõnãyxopYeyox Kunnix yõg mõnãyxop xohix xop te tik hittap Namix hã' mõkputox, ha mõnãyxop hittap 'Amanãm hã' mõkputox."
40,1,2,"'Ãmanãm te 'Iyak mũg tak, ha 'Iyak te Yako mũg tak, ha Yonah mũg tak, xi' taknõy xop mũg tak."
40,1,3,"Ha Yonah te Pet mũg tak, xix Yet mũg tak, ha' mũg tut 'ãxet'ax Tãm. Ha Pet te 'Exnõg mũg tak, ha 'Anãm mũg tak,"
40,1,4,"ha 'Ãmĩnãnap mũg tak, ha Nãy mũg tak, ha Xanmõm mũg tak,"
40,1,5,"ha Moax mũg tak, ha' mũg tut 'ãxet'ax Hap. Ha Moax te 'Omet mũg tak, ha' mũg tut 'ãxet'ax Hot, ha 'Omet te Yexe mũg tak,"
40,1,6,"ha Namix mũg tak. Yã hõmã Namix te 'Iyaet yõg tikmũ'ũn xohix xat.Ha Namix te 'Onit xetut mũg, ha Xanomãm put,"
40,1,7,"ha Homo'ãm mũg tak, ha 'Amit mũg tak, ha 'Axa mũg tak,"
40,1,8,"ha Yoxapah mũg tak, ha Yonãm mũg tak, ha 'Oyit mũg tak,"
40,1,9,"ha Yotãm mũg tak, ha 'Akax mũg tak, ha 'Eyekit mũg tak,"
40,1,10,"ha Mãnãxex mũg tak, ha 'Ãmõm mũg tak, ha Yoyit mũg tak,"
40,1,11,"ha Yekõnĩn mũg tak, xi' taknõy xop mũg tak, 'ĩhã puknõg xop te 'Iyaet yõg tikmũ'ũn mõgãhã', nũy hãm puknõg ha' mõgã', tu hãpxexka Maminõn tu' mõgãhã', pu tu pi'. Tu Maminõn tu' pip, 'ĩhã Yekõnĩn te Xanatit mũg tak, ha Yonomameo mũg tak,"
40,1,13,"ha 'Amiot mũg tak, ha 'Enitkĩy mũg tak, ha 'Ayoh mũg tak,"
40,1,14,"ha Xanok mũg tak, ha 'Akĩy mũg tak, ha 'Eniot mũg tak,"
40,1,15,"ha Mãtã mũg tak, ha Yako mũg tak,"
40,1,16,"ha Yoye mũg tak, ha Mãnix mũtik yãytaha', ha' put Yeyox 'ãxet'ax Kunnix. Kaxĩy 'Amanãm mõkputox te homik-tok put, ha tehomik-tok put, ha tehomik-tok put, tu mõktu xohix te 14, tu mõktu Namix te 'Iyaet yõg tikmũ'ũn xat, ha tehomik-tok put xohix te 14, tu mõktu 'Iyaet yõg tikmũ'ũn te hãpxexka Maminõn tu' mõg, ha mõkputox nõy xohix te 14 kamah, ha mõktu Yeyox Kunnix mũg tut te' put."
40,1,18,"Yeyox mũg tut te' putTu' put hã xĩy: Tute yãytap-tup Yoye mũtik, pa nõm mũtik nõm 'ohnãg 'ĩhã Topa Koxuk tek-tok putnãhã'."
40,1,19,"Ha Mãnix te yãy kutok xuk, ha Yoye te' yũmmũg, yã hãmyok mĩy, tu' yĩy 'ohnãg, tu hãmpe'paxex, hu: “Pũyã tikmũ'ũn Mãnix kummuk 'ãktux hok!” Kaxĩy. Tu' xaptop tu' nĩm putup,"
40,1,20,"tu hãmpe'paxex, 'ĩhã pexkox yõg nũ'kutnã'ax nũn, Yoye mõ'yõn 'ĩhã' nũn, tu' yõtkup tu hãm'ãktux, hu:—‍Yoye, 'ãmũn yã Namix hã 'ãmõkputox, hu 'ãkuxanõg hok, nũy Mãnix mũy, nũy nũ mũtik yãytax. Yã' max Mãnix, ha Topa Koxuk tek-tok putnãp-tup,"
40,1,21,"hak-tok pit put putup, ha xate' xuxet'ax mĩy putup Yeyox, ha yãy yõg tikmũ'ũn kuxa kummuk xit putup, nũy kuxa max tat 'ũyãnãn tu'."
40,1,22,"Topa te hãpxopmã ka'ok, yã hõmã tik te Topa pupi hãm'ãktux tikmũ'ũn pu', yĩy: “'Ũn hok yũm tek-tok xuk putup, hak-tok 'ãxet'ax te: 'Ẽmãnẽo.” Yã tikmũ'ũn yĩy'ax hã: “Topa te yũmũg mũtik tihi'.” Kaxĩy. Tu ta tu' kux. Yã Topa yõg hãm'ãktux hittap hã Mãnix te yãy kutok xuk nõmhã. Series, "
40,1,24,"Ha Yoye yãy koxak, tu' yĩpkox pip, tu Mãnix mũg,"
40,1,25,"pa nõm mũtik nõm 'ohnãg, mõktuk-tok put, ha Yoye te' xuxet'ax mĩy Yeyox."
40,2,1,"Tik puknõg xop te hãmyũmmũg nũnYeyox mũg tut te' put kõmẽn Menẽg tu', yã hãpxexka Yonex yõg kõmẽn, ha 'Enot te hãpxexka yõg tikmũ'ũn xohix xat, 'ĩhã Mãnix tek-tok put, ha tik puknõg xop te hãmyũmmũg nũn, mãyõn xupep'ax ha' nũn, tu mãyõnnãg xop yũmmũg, tu Yenoyanẽn ha' nũn, tu' nũn tu nũktu mõxaha',"
