Book,Chapter,Verse,Scripture
40,1,1,"JESUS CRISTO MUWẼG̃AP EKAWẼNTUP- -MATEUS EMUDUPMUBARARAKTUPKuyjeayũ Jesus Cristo diwatwat. Ixe Jesus tiwat ijop'in ma Davi dak, Abraão dak. Ixe Davi Abraão naxeg̃ebit osunuy. Kuyjeayũ osodop ip. Tobuyũ osodop ip. Ite diwatwat ma. Ibũrũ ma osodop ip:"
40,1,2,Isaque ebay Abraão osunuy. Jacó ebay Isaque o'e. Judá ebay Jacó osunuy- -Judá kitpiyũ ebay dak.
40,1,3,"Peres ebay Judá osunuy, Zera ebay dak. Ixi Tamar osunuy. Esrom ebay Peres osunuy, Zera ebay dak. Ixi Tamar osunuy. Esrom ebay Peres osunuy. Arão ebay Esrom osunuy."
40,1,4,Aminadabe ebay Arão osunuy. Nasom ebay Aminadabe osunuy. Salmom ebay Nasom osunuy.
40,1,5,Boaz ebay Salmom osunuy. Raabe Boaz xi osunuy. Obede ebay Boaz osunuy. Obede xi osunuy. Jessé ebay Obede osunuy.Imẽn o'e. 14 em osodop-  gerações osodop.
40,1,6,Davi ebay Jessé osunuy- -kuyibit kukukat ebay. Salomão eba y Davi osunuy. Urias tayxibuk Salomão xi osunuy.
40,1,7,Roboão ebay Salomão osunuy. Abias ebay Roboão osunuy. Asa ebay Abias osunuy.
40,1,8,Josafá ebay Asa osunuy. Jorão ebay Josafá osunuy. Uzias ebay Jorão osunuy.
40,1,9,Jotão ebay Uzias osunuy. Acaz ebay Jotão osunuy. Ezequias ebay Acaz osunuy.
40,1,10,Manassés ebay Ezequias osunuy. Amom ebay Manassés osunuy. Josias ebay Amom osunuy.
40,1,11,"Jeconias ebay Josias o'e, Jeconias kitpiyũ ebay dak.Imẽn Josias o'e, itakomaayũ Israel naxeg̃ebitbit tujowatwan pima Babilônia eipi be. Imẽn o'e dak. Wara'at 14 em osodop-  gerações osodop. Tujowat puje, Salatiel ebay ixe Jeconias osunuy. Zorobabel ebay Salatiel osunuy."
40,1,13,Abiúde ebay Zorobabel osunuy. Eliaquim ebay Abiúde osunuy. Azor ebay Eliaquim osunuy.
40,1,14,Sadoque ebay Azor osunuy. Aquim ebay Sadoque osunuy. Eliúde ebay Aquim osunuy.
40,1,15,Eleazar ebay Eliúde osunuy. Matã ebay Eleazar osunuy. Jacó ebay Matã osunuy.
40,1,16," José Maria itop osunuy. Jacó Maria itop ebay osunuy. Jesus Maria'it osunuy. Cristo i ibutet, ixe Jesus putet. -"
40,1,18,"Jesus Cristo kapap. Jesus xi José wadip osunuy. Maria i ibutet osunuy. Yukreg̃ o'e, jewebumũn awap. Deus biõg̃buk o'g̃u'ukreg̃."
40,1,19,"Yukreg̃ puje, José iboam itaybit o'e. Icẽmat osunuy José. Maria musũsũn pin g̃u osunuy ibaripyũ etabun. Imẽnpuye José ibu'u osunuy jewebumũn. Iba'arẽm suiwat ojuy."
40,1,20,"José bit ijop i'e pin pima, Deus ekawẽn tojotjot'ukat ma oajẽm José kay, jexeyxey bima.— José! — io'e. — Davi diwacat ẽn! Epararam g̃u juy Maria eju jewebumũn ãm- -ewadip eju. Deus biõg̃buk Xipan o'g̃u'ukreg̃."
40,1,21,I'it je'kap- -ag̃okatkat'it'it. Ibuten Jesus i esubutetmõg̃. I'it puten. Judeuyũ bewi ikẽrẽat ju'uk je'e ipiat'ajoap puxim — io'e- -Deus ekawẽn tojotjot'ukat o'e José be.
40,1,22,"Soat ijop o'jebapuk. Deus o'e jekawẽn muwẽnuwẽn'ukayũ be iap tag̃ o'jebapuk. Imẽn ixe o'e apẽn Deus o'e iap tag̃:Eya'õpicũg̃cũg̃ cuy epesop. Ayacat yukreg̃ je'e. Ayacat i'it je'kap. Ag̃okatkan je'e. Yaypan'isuat je'it g̃ukap. Emanuel i ibuten je'e, i.Emanuel o'e Deus omuy wuyweju. Series, "
40,1,24,"Jewurũg̃ puje, José o'e soat Deus ekawẽn tojotjot'ukato'e cebe. Deus ekawẽn tag̃ José o'jewebumũn Maria eju."
40,1,25,"I'it kap awap, o'jepo g̃u buk ceweju. Maria'it o'subutetmõg̃ Jesus i, ikap puje."
40,2,1,"O'kap Jesus Belém ka be, Judéia eipi be. G̃ebuje itaybit cĩcãayũ oajẽm Jerusalém ka kay. Kasopta jujuap itaybit cĩcã ip. Herodes Judeuyũ kukuk'ukat pima, oajẽm ip. Kaxijẽmap eipi bewi oajẽm ip."
40,2,2,— Poce bekicat omuy? — io'e ip. — Xeku Judeuyũ kukuk'ukan em- -ixe bekicat. Kasopta ocetajojo oceka be- -kaxijẽmap eipi be. Tawaru ma o'jedaebapuk. Imẽnpuye ocetaybit bekicat o'kap iam. Ya'õbacaat xeku. Ocajẽm ixe mubuyxi am — io'e ip.
40,2,3,"Imẽnpuye Herodes yag̃uybabi'ũm o'e, Jerusalém ka watwat tak."
40,2,4,Judeuyũ epaĩyũ kukukayũ o'tomuwã Herodes. Moisés ekawẽn imutaybitbin'ukayũ dak o'tomuwã ixe. O'je'awero ip Herodes kay.— Poce Deus emunaẽ je'kap? — io'e cebe ip.
40,2,5,"— Belém ka be, Judéia eipi be — io'e ip Herodes pe. — Imẽn Deus ekawẽn muwẽnuwẽn'ukat kuy tupmubararag̃ o'e- -Deus ekawẽntup."
40,2,6,"Kuy o'e:Belém ka bewi eykukukat omuyku- -Judá eipi bewi. Imẽnpuye iboceayũ je'e iboap ika mubog̃ubog̃. Eykukukat Israel naxeg̃ebitbit mujujum je'e. Imẽnpuye ikabog̃ je'e iboka, i.Imẽn Deus ekawẽn muwẽnuwẽn'ukat kuy tupmubararag̃ o'e- -Deus ekawẽntup — io'e ip."
40,2,7,"G̃ebuje Herodes itaybit cĩcãayũ o'tomuwã- -kaxijẽmap eipi bewiayũ. Iba'arẽm o'tomuwã. Oajẽm ip, o'tomuwã buye.— Puju ixe kasopta o'jedaebapuk kabi be- -eyeipi be? — i big̃ ma o'e- -Herodes o'e.Kasopta muwẽnuwẽn o'e ip Herodes eju."
40,2,8,"— Epeju Belém ka kay — Herodes o'e cebe ip. — Bekicat kudadam cĩcã epeju. Tobuxik puje, ixe awẽg̃ cuy epeyawẽg̃muwẽn owebe, owebe ijo am, ixe mubuyxin am — Herodes o'e itaybit cĩcãayũ be.Herodes pit bekicat mubuyxin ojuy g̃u."
