Book,Chapter,Verse,Scripture
40,1,1,"Jesus ky nꞌaa hanäm do Matew erii wät do hahỹỹhJesus wahë makũ sa häd ketsén do hahỹỹhJesus Kristo, Dawi panaa, Abaraãm panaa. Hahỹ ta wahë makũ sa häd heen nꞌaa kerih doo:"
40,1,2,"Abaraãm tꞌaah, Isak.Isak tꞌaah, Jakóh.Jakóh taah, Judah, ta hỹỹj daheeh."
40,1,3,"Judah tꞌaah, Peres.Peres taah, Eserõm Serah daheeh. Tamar mä sa ỹỹn makũ häd.Eserõm tꞌaah, Rãm."
40,1,4,"Rãm tꞌaah, Aminadab.Aminadab tꞌaah, Nasõm.Nasõm tꞌaah, Saramon."
40,1,5,"Saramon tꞌaah, Buwas. Buwas ỹỹn Rahab häd näng doo.Buwas tꞌaah, Obed. Obed ỹỹn mä Rut häd näng doo.Obed tꞌaah, Jesé."
40,1,6,"Jesé tꞌaah kä, Dawi, ër wahë makũ sa wahë nꞌaa paah.Dawi tꞌaah, Saromãw. Saromãw ỹỹn Urija häd näng do ỹỹm paah."
40,1,7,"Saromãw tꞌaah, Reoboãm.Reboãm tꞌaah, Abijah.Abijah tꞌaah, Asah."
40,1,8,"Asah tꞌaah, Josapa.Josapa tꞌaah, Jorãw.Jorãw panaa seeh, Usijah."
40,1,9,"Usijah tꞌaah, Jotãw.Jotãw tꞌaah, Akas.Akas tꞌaah, Esekijah."
40,1,10,"Esekijah tꞌaah, Manaséh.Manaséh tꞌaah, Amom.Amom tꞌaah, Josijah."
40,1,11,"Josijah panaa kä, Jekonija, ta hỹỹj daheeh. Babirõn buuj, Judah buuj majĩĩ, sa häj nꞌaa hẽnh Judah buuj ramahũũm noo gó Jekonija rababok. Babirõn häj nꞌaa bä rabajꞌeenh do jawén paa bä henäk do hahỹ Jesus wahë makũ sa häd: Jekonija tꞌaah, Saratijéw.Saratijéw tꞌaah, Sorobab."
40,1,13,"Sorobab tꞌaah, Abijuh.Abijuh tꞌaah, Erijakĩm.Erijakĩm tꞌaah, Asor."
40,1,14,"Asor tꞌaah, Sadok.Sadok tꞌaah, Akĩh.Akĩh tꞌaah, Erijud."
40,1,15,"Erijud tꞌaah, Erejasa.Erejasa tꞌaah, Matãn.Matãn tꞌaah, Jakóh."
