Book,Chapter,Verse,Scripture
40,1,1,"Exe baberakoa kaxairatyaka Jesus Cristo nahetakomaniyerenai nexare. Jesus Cristo atyo Davi jikolahare, Davi atyo Abraão jikolahare."
40,1,2,"Abraão atyo Isaque kaisani,Isaque atyo Jacó kaisani,Jacó atyo Judá kaisani, iximarenenai enaxenanenai xoaha kaisani."
40,1,3,"Judá atyo Peres, Zera xoaha kaisani,Tamar atyo inityoha.Peres atyo Esrom kaisani,Esrom atyo Arão kaisani."
40,1,4,"Arão atyo Aminadabe kaisani,Aminadabe atyo Nasom kaisani,Nasom atyo Salmom kaisani."
40,1,5,"Salmom atyo Boaz kaisani, inityo atyo Raabe.Boaz atyo Obede kaisani, inityo atyo Rute.Obede atyo Jessé kaisani."
40,1,6,"Jessé atyo Davi kaisani hoka Davi atyo xekohaseti kalorexe tyaona.Hatyaoseta Davi atyo Salomão kaisani, inityo atyo Urias ene exanityo."
40,1,7,"Salomão atyo Roboão kaisani,Roboão atyo Abias kaisani,Abias atyo Asa kaisani."
40,1,8,"Asa atyo Josafá kaisani,Josafá atyo Jorão kaisani,Jorão atyo Uzias kaisani."
40,1,9,"Uzias atyo Jotão kaisani,Jotão atyo Acaz kaisani,Acaz atyo Ezequias kaisani."
40,1,10,"Ezequias atyo Manassés kaisani,Manassés atyo Amom kaisani,Amom atyo Josias kaisani."
40,1,11,Salatiel atyo Zorobabel kaisani.
40,1,13,"Zorobabel atyo Abiúde kaisani,Abiúde atyo Eliaquim kaisani,Eliaquim atyo Azor kaisani."
40,1,14,"Azor atyo Sadoque kaisani,Sadoque atyo Aquim kaisani,Aquim atyo Eliúde kaisani."
40,1,15,"Eliúde atyo Eleazar kaisani,Eleazar atyo Matã kaisani,Matã atyo Jacó kaisani."
40,1,16,"Jacó atyo José kaisani hoka José atyo Maria exanene. Hatyo atyo Jesus nityo, Kalorexe Enore Aohenere nityo atyo Maria. Nikare enahetakomaniyerenai hoka Abraão ta exakerexe kaxihatyakaha Davi tyaohenere kijiya hoka 14-hareha. Nikare Davi ta kaxihatyakehenahitiyaha, Babilônia xeta kakolatyakehenahere kijiya hoka 14-hareha tehitiya. Hatyo kakolatyakehenahere najikinita kaxihatyakehenahitiyaha, Cristo tyaohenere kijiya hoka 14-hareha tehitiya."
40,1,18,"Jesus tyaohenere atyo exakerexe: inityo Maria tyaohenere José kakoa nahitita tifalo, Enore nisekohare nikare mokene."
40,1,19,Tifalo hoka hatyaoseta José maisa tyaona ekakoa aokowihitita. Hoka José atyo waiyexehare hoka maisa Maria kairaehalotyaka aokita hoka hatyo hiyeta memereta emaisaheta hawenakakoaneha aokowita hoka maisa kasemakita maheta.
40,1,20,"Hatyohare tahi ahekoita ene hoka Enore xaxikala anjo kaotyaka enomana inijihinako hoka nexa ihiye: — José, Davi jikolahare, awa atyo hamaikohare hawenane Maria kakoa tahi, Enore nisekohare atyo atifalokisene."
40,1,21,Awenakisaite haisani enamokose. Tyaonaite hoka maika hakaixaretene Jesus. Hatyo atyoite iyehetehena haliti haomanerenai iniyalahare enómaneha nonitata — nexa.
40,1,22,"Tyotya nikare tyaona, iraiti xakaisasehare xakaitere akerexeta kawenatyakeheta maheta. Exakere iniraine xairatyoare tyaonita iraiti waiyexe nanekoa:Ohiro mawatyalisakahaloite tifalo hoka awenakisaite enamokose hoka enexare ite Emanuel.Wiyako maniya atyo, “Enore tyaonita winekoni”, nita. Series, "
40,1,24,Hatyaoseta José kaose hoka Enore xaxikala anjo iraetere ekakoa akereta hatyaonero Maria kakoa tyaona.
40,1,25,Xakore hoka maisa atyo watyaliyene hekoti tyaohenere ityani kijiya. Tyaona ityani hoka José atyo Jesus nexarexe kaixaretya xoima.
40,2,1,"Ewaiyasenai Tyoaha Kamai Nihikoane ManiyataJesus tyaona wenakalati Belém nali, Judéia koa nali, Herodes xekohaseti tyaonitere xowakiya. Hatyo xowakiya Jesus tyaona najikini haiyanai halitinai tyoaha kamai nihikoane maniyata Jerusalém nali xeta. Waiyoreta xoresenai kakoa hatyo kaokiterenai hoka"
40,2,2,"kaokaha hoka nexaha, — Aliyako tyaona xoima judeunai xekohase maheta? Wiyaiya exoresera kamai nihikoane maniyata hoka wisoa wawaiyetene wimaxalo ekakoa maheta — nexaha axahene."
40,2,3,"Hatyo tahi sema xekohaseti Herodes hoka amaikohare, tyotya hatyo Jerusalém tyaoniterenai tehitiya amaikohareha."
40,2,4,"Hatyaoseta Herodes ahohisakoatya sacerdotenai xekohasenai, Moisés xaotyakira kakoa waiyoreterenai xoaha hoka axahene: — Aliyekoa Cristo nawenane xaokita? nexa axahene."
