Book,Chapter,Verse,Scripture
40,1,1," Esta é a lista dos antepassados de Jesus Cristo, descendente de Davi, que era descendente de Abraão. "
40,1,2," Abraão foi pai de Isaque, Isaque foi pai de Jacó, e Jacó foi pai de Judá e dos seus irmãos. "
40,1,3," Judá foi pai de Peres e de Zera, e a mãe deles foi Tamar. Peres foi pai de Esrom, que foi pai de Arão. "
40,1,4," Arão foi pai de Aminadabe, que foi pai de Nasom, que foi pai de Salmom. "
40,1,5," Salmom foi pai de Boaz, e a mãe de Boaz foi Raabe. Boaz foi pai de Obede, e a mãe de Obede foi Rute. Obede foi pai de Jessé, "
40,1,6, que foi pai do rei Davi. Davi e a mulher que tinha sido esposa de Urias foram os pais de Salomão.
40,1,7," Salomão foi pai de Roboão, que foi pai de Abias, que foi pai de Asa. "
40,1,8," Asa foi pai de Josafá, que foi pai de Jorão, que foi pai de Uzias. "
40,1,9," Uzias foi pai de Jotão, que foi pai de Acaz, que foi pai de Ezequias. "
40,1,10," Ezequias foi pai de Manassés, que foi pai de Amom, que foi pai de Josias. "
40,1,11," Josias foi pai de Jeconias e dos seus irmãos, no tempo em que os israelitas foram levados como prisioneiros para a Babilônia. "
40,1,12," Depois que o povo foi levado para a Babilônia, Jeconias foi pai de Salatiel, que foi pai de Zorobabel. "
40,1,13," Zorobabel foi pai de Abiúde, que foi pai de Eliaquim, que foi pai de Azor. "
40,1,14," Azor foi pai de Sadoque, que foi pai de Aquim, que foi pai de Eliúde. "
40,1,15," Eliúde foi pai de Eleazar, que foi pai de Matã, que foi pai de Jacó. "
40,1,16," Jacó foi pai de José, marido de Maria, e ela foi a mãe de Jesus, chamado Messias. "
40,1,17," Assim, houve catorze gerações desde Abraão até Davi, e catorze, desde Davi até que os israelitas foram levados para a Babilônia. Daí até o nascimento do Messias, também houve catorze gerações. "
40,1,18," O nascimento de Jesus Cristo foi assim: Maria, a sua mãe, ia casar com José. Mas antes do casamento ela ficou grávida pelo Espírito Santo. "
40,1,19," José, com quem Maria ia casar, era um homem que sempre fazia o que era direito. Ele não queria difamar Maria e por isso resolveu desmanchar o contrato de casamento sem ninguém saber. "
40,1,20," Enquanto José estava pensando nisso, um anjo do Senhor apareceu a ele num sonho e disse: —José, descendente de Davi, não tenha medo de receber Maria como sua esposa, pois ela está grávida pelo Espírito Santo. "
40,1,21," Ela terá um menino, e você porá nele o nome de Jesus, pois ele salvará o seu povo dos pecados deles. "
40,1,22, Tudo isso aconteceu para se cumprir o que o Senhor tinha dito por meio do profeta: “A virgem ficará grávida e terá um filho que receberá o nome de Emanuel. ”  Emanuel quer dizer “Deus está conosco”. 
40,1,24," Quando José acordou, fez o que o anjo do Senhor havia mandado e casou com Maria. "
40,1,25, Porém não teve relações com ela até que a criança nasceu. E José pôs no menino o nome de Jesus.
40,2,1," Jesus nasceu na cidade de Belém, na região da Judéia, quando Herodes era rei da terra de Israel. Nesse tempo alguns homens que estudavam as estrelas vieram do Oriente e chegaram a Jerusalém. "
40,2,2, Eles perguntaram: —Onde está o menino que nasceu para ser o rei dos judeus? Nós vimos a estrela dele no Oriente e viemos adorá-lo.
40,2,3," Quando o rei Herodes soube disso, ficou muito preocupado, e todo o povo de Jerusalém também ficou. "
40,2,4, Então Herodes reuniu os chefes dos sacerdotes e os mestres da Lei e perguntou onde devia nascer o Messias.
40,2,5," Eles responderam: —Na cidade de Belém, na região da Judéia, pois o profeta escreveu o seguinte: "
40,2,6," “Você, Belém, da terra de Judá, de modo nenhum é a menor entre as principais cidades de Judá, pois de você sairá o líder que guiará o meu povo de Israel. ” "
