Book,Chapter,Verse,Scripture
40,1,1,Iesui Etiat Mateu MienoiUito ti IESUI potmuꞌe Mateu. Miꞌi uimiwan me atimo­herep yne Aipo­typot Iesui etiat uiꞌakasa hap koꞌi uimikuap hap koꞌi are.Mesuwe saꞌawyꞌi­wuaria atiꞌatu­set­pehik teran AIPOTYPOT IESUI eꞌaseꞌiꞌin set koꞌi katu­pono IESUI ti ahaꞌaseꞌi pot Aparãu Saipepiat Sese aikotã saꞌawyꞌi TUPANA toꞌe ahaꞌaseꞌi koro Aparãu me — Meiũran ti aru Emiariru kawiat Eiãꞌỹi topyhuꞌat Wuatꞌi Ywania Porekuat Koro e Tupana saꞌawyꞌi. Iꞌewyte Aipo­rekuat Iesui ti aipo­rekuat pot Tawi Saipepiat Sese topyhuꞌat aikotã saꞌawyꞌi Tupana toꞌe — Meiũran ti aru Eiãꞌỹi kaipywiat raꞌyn topyhuꞌat Uimi­poꞌoro Wuatꞌi Porekuat Eporekuat no e Tupana morekuat Tawi pe Aipo­typot IESUI piat.
40,1,2, PIAT EWYPyno atiꞌatu­set­pehik teran mesuwe Aheha­kyeraꞌat hat IESUI eꞌaseꞌiꞌin set koꞌi. Saꞌawyꞌi ti APARÃU imoherep tosai­pepiat ISAKI. Miꞌi hawyi ISAKI imoherep tosai­pepiat IAKO. Miꞌi hawyi IAKO imoherep tosai­pepiat IUTA iywytꞌin nywo.
40,1,3,Miꞌi hawyi IUTA imoherep tosai­pepiat PERE iywyt Seru wywo teharyꞌi Tamãu kaipyi. Miꞌi hawyi PERE kaipyi tuwe­mo­herep ESEHŨ. Miꞌi hawyi ESEHŨ imo­herep ARÃU.
40,1,4,Miꞌi hawyi ARÃU imo­herep AMINÃTAPI. Miꞌi hawyi AMINÃTAPI kaipyi tuwe­mo­herep NASŨ. Miꞌi hawyi NASŨ imo­herep SARUMÃU.
40,1,5,Miꞌi hawyi SARUMÃU kaipyi tuwe­mo­herep PUASI teharyꞌi Hapi kaipyi. Miꞌi hawyi PUASI imoherep OPETI teharyꞌi Huti kaipyi. Miꞌi hawyi OPETI kaipyi tuwe­mo­herep IESE.
40,1,6,Miꞌi hawyi IESE imo­herep aipo­rekuat saꞌawyꞌi­wuanuat TAWI. Miꞌi hawyi morekuat koro TAWI kaipyi tuwe­mo­herep morekuat SARUMÃU tomimaꞌat tomiꞌauka Uria eharyꞌi kaipyi.
40,1,7,Miꞌi hawyi SARUMÃU kaipyi tuwe­mo­herep morekuat HUPUÃU. Miꞌi hawyi HUPUÃU imoherep morekuat APIA. Miꞌi hawyi APIA kaipyi tewe­mo­herep morekuat ASA.
40,1,8,Miꞌi hawyi ASA imo­herep morekuat IOSAWA. Miꞌi hawyi IOSAWA imo­herep morekuat IURÃU. Miꞌi hawyi IURÃU imo­herep morekuat USIA.
40,1,9,Miꞌi hawyi USIA imo­herep morekuat IUTÃU. Miꞌi hawyi IUTÃU imoherep morekuat AKASI. Miꞌi hawyi AKASI kaipyi tuwe­mo­herep morekuat ESEKIA.
40,1,10,Miꞌi hawyi ESEKIA kaipyi tuwe­mo­herep morekuat MANASI. Miꞌi hawyi MANASI imo­herep morekuat AMAŨ. Miꞌi hawyi AMAŨ kaipyi tuwe­mo­herep morekuat IUSIA.
40,1,11,Miꞌi hawyi IUSIA kaipyi tuwe­mo­herep morekuat IEKUNIA iywytꞌin nywo. Morekuat IEKUNIA toĩneꞌen turan suraraꞌin yi Papi­runia kaipyi tõꞌẽ tõꞌẽ kahato aiꞌywania saꞌawyꞌi­wuaria moma hamo. Miꞌi hawyi iꞌatue­su­raraꞌin teropoꞌok kahato iꞌatueyi pyi yi Papi­runia kape taꞌatue­ropat hamo. Miꞌi hawyi watu­kupteꞌen motꞌi yi Papi­runia pe. Miꞌi tote watu­we­potpap at kaꞌap yi Papi­runia ywania emiitꞌin no watu­we­potpap yt kat saꞌup mo i yi wato Papi­runia pe watu­we­potpap itote ahewa­nĩ­kaptia mikyꞌesat ewy. Miꞌi hawyi yi wato Papi­runia pe mekewat ahaꞌaseꞌi morekuat IEKUNIA kaipyi tuwe­mo­herep SARATIEU. Miꞌi hawyi SARATIEU imo­herep SURUPAPEU.
40,1,13,Miꞌi hawyi SURUPAPEU kaipyi tuwe­mo­herep APIUTI. Miꞌi hawyi APIUTI imoherep ERIAKĨ. Miꞌi hawyi ERIAKĨ imo­herep ASU.
40,1,14,Miꞌi hawyi ASU imo­herep SATOKI. Miꞌi hawyi SATOKI kaipyi tuwe­mo­herep AKĨ. Miꞌi hawyi AKĨ imo­herep ERIUTI.
40,1,15,Miꞌi hawyi ERIUTI kaipyi tuwe­mo­herep EREASA. Miꞌi hawyi EREASA imo­herep MATÃ. Miꞌi hawyi MATÃ imo­herep IAKO.
