Book,Chapter,Verse,Scripture
40,1,1,"koyúhoti koeku JesusOxúnoekenehiko JesusEnepora yutoéti, koati koyuhó'inoviti iháhiko ne oxúnoekene Jesus Kristu, ámoripono Ndávi, ámoriponoikomaka Âbraum."
40,1,2,"Eneponeko Âbraum, há'ane neko Izáki.Kene Izáki, Njáko itukoa há'a.Kene Njáko, Njúda yoko po'ínuhiko itukoa há'a."
40,1,3,"Kene Njúda, Pêre yoko Nzêra itukoa há'a.Táma koéha êno neko pi'âti xe'exa Njúda.Kene Pêre, Êzorom itukoa há'a.Yoko Âraum koéha xé'a neko Êzorom."
40,1,4,"Kene Âraum, Aminâdabi itukoa há'a.Kene Aminâdabi, Nâso itukoa há'a.Kene Nâso, Sâumom itukoa há'a."
40,1,5,"Kene Sâumom, Mbôa itukoa há'a.Yoko Râbe koéha êno ne Mbôa.Kene Mbôa, Ôbedi itukoa há'a.Yoko Rúti koéha êno ne Ôbedi.Kene Ôbedi, Njése itukoa há'a."
40,1,6,"Eneponeko Njése, énomone itúko há'a neko Ndávi, nâti mekúke.Yoko ápe xe'éxa neko Ndávi xoko sêno, viúvana hóyeno koéhati Ûriya.Salúmaum koéha neko xé'a."
40,1,7,"Kene Salúmaum, Robôaum itukoa há'a.Kene Robôaum, Âmbiya itukoa há'a.Kene Âmbiya, Âza itukoa há'a."
40,1,8,"Kene Âza, Njozáfa itukoa há'a.Kene Njozáfa, Njôraum itukoa há'a.Kene Njôraum, Ûziya itukoa há'a."
40,1,9,"Kene Ûziya, Njótaum itukoa há'a.Kene Njótaum, Áka itukoa há'a.Kene Áka, Ezékiya itukoa há'a."
40,1,10,"Kene Ezékiya, Manáse itukoa há'a.Kene Manáse, Âmum itukoa há'a.Kene Âmum, Njôziya itukoa há'a."
40,1,11,"Kene Njôziya, Njekóniya yoko po'ínuhiko itukoa há'a ya kaxénake íteokonoku ne viyénoxapa jûdeu xapa isukókoti yaneko omopókononehiko itúkeovo kaúti ya Mbabílonea. Eneponeko Njekóniya, ápe xé'a koéhati Salatíye ike omópinekono viyénoxapa ya Mbabílonea.Kene Salatíye, Nzorobâbe itukoa há'a."
40,1,13,"Kene Nzorobâbe, Ambiûdi itukoa há'a.Kene Ambiûdi, Eliyáki itukoa há'a.Kene Eliyáki, Âzo itukoa há'a."
40,1,14,"Kene Âzo, Sadóki itukoa há'a.Kene Sadóki, Âkim itukoa há'a.Kene Âkim, Eliûdi itukoa há'a."
40,1,15,"Kene Eliûdi, Eleâza itukoa há'a.Kene Eleâza, Mátam itukoa há'a.Kene Mátam, Njáko itukoa há'a."
