Book,Chapter,Verse,Scripture
40,1,1,Jesu Cristo yẽkɨ sɨmɨá naâ niî turia mɨhati'ke niî'A'ti pũrí Jesu Cristo yẽkɨ sɨmɨá wamé me'ra ohâ nɨ'ka no'o'. Jesu Cristo Õ'âkɨ̃hɨ makɨ masɨ́ bahuá'kɨ Abraão Judeu masɨ niî mɨ'ta'kɨ paramí niî turiagɨ niîkɨ niîwĩ. Tohô niikã́ dɨporókɨ̃hɨpɨ Judeu masa wiôgɨ Davi paramí niî turiagɨ niîkɨ niîwĩ.
40,1,2,"Abraão Isaque pakɨ niîkɨ niîwĩ. Isaque kẽ'ra Jacó pakɨ́ niîkɨ niîwĩ. Jacó Judá, tohô niikã́ kɨ̃ɨ̂ ma'mi sɨmɨá, kɨ̃ɨ̂ akabihírã pakɨ niîkɨ niîwĩ."
40,1,3,"Judá Faré, Zerá sɨ'rɨá'kãrã pakɨ niîkɨ niîwĩ. Naâ pakó Tamar wamêtiko niîwõ. Faré Esrṍ pakɨ niîkɨ niîwĩ. Esrṍ Arão pakɨ niîkɨ niîwĩ."
40,1,4,Arão Aminadabe pakɨ niîkɨ niîwĩ. Aminadabe Naassṍ pakɨ niîkɨ niîwĩ. Naassṍ Salmó pakɨ niîkɨ niîwĩ.
40,1,5,Salmó Boaz pakɨ niîkɨ niîwĩ. Boaz pako Raabe wamêtiko niîwõ. Boaz Obede pakɨ niîkɨ niîwĩ. Kɨ̃ɨ̂ pakó wamêtiko niîwõ. Obede Jessé pakɨ niîkɨ niîwĩ.
40,1,6,Jessé Judeu masa wiôgɨ Davi pakɨ́ niîkɨ niîwĩ. Davi Uria nɨmo niî'ko me'ra Salomãore põ'ratíkɨ niîwĩ.
40,1,7,Salomão Roboão pakɨ niîkɨ niîwĩ. Roboão Abia pakɨ niîkɨ niîwĩ. Abia Asa pakɨ niîkɨ niîwĩ.
40,1,8,Asa Josafá pakɨ niîkɨ niîwĩ. Josafá Jorão pakɨ niîkɨ niîwĩ. Jorão Uzia pakɨ niîkɨ niîwĩ.
40,1,9,Uzia Jotão pakɨ niîkɨ niîwĩ. Jotão Acaz pakɨ niîkɨ niîwĩ. Acaz Ezequia pakɨ niîkɨ niîwĩ.
40,1,10,Ezequia Manassé pakɨ niîkɨ niîwĩ. Manassé Amó pakɨ niîkɨ niîwĩ. Amó Josia pakɨ niîkɨ niîwĩ.
40,1,11,"Josia Jeconia, tohô niikã́ kɨ̃ɨ̂ akabihírã pakɨ niîkɨ niîwĩ. Tiîtapɨre Babilônia wamêtiri di'takãharã Israel kurakãharãre yẽ'ê, naa yaá di'ta Babilôniapɨ miáa mɨhakãrã niîwã. Tohô wa'âka be'ro ãpêrã bahuákãrã niîwã. Jeconia Salatiel pakɨ niîkɨ niîwĩ. Salatiel Zorobabel pakɨ niîkɨ niîwĩ."
40,1,13,Zorobabel Abiúde pakɨ niîkɨ niîwĩ. Abiúde Eliaquĩ́ pakɨ niîkɨ niîwĩ. Eliaquĩ́ Azor pakɨ niîkɨ niîwĩ.
40,1,14,Azor Sadoque pakɨ niîkɨ niîwĩ. Sadoque Aquĩ́ pakɨ niîkɨ niîwĩ. Aquĩ́ Eliúde pakɨ niîkɨ niîwĩ.
40,1,15,Eliúde Eleazar pakɨ niîkɨ niîwĩ. Eleazar Matã pakɨ́ niîkɨ niîwĩ. Matã Jacó pakɨ́ niîkɨ niîwĩ.
40,1,16,"Jacó Jose pakɨ́ niîkɨ niîwĩ. José Maria marapɨ́ niîkɨ niîwĩ. Koô Jesu masaré yɨ'rɨoákɨhɨ Cristo naâ niigɨ́ pako niîko niîwõ. Tohô weéro Abraão me'ra dɨ'pôkãti, teê Davi wiôgɨ niirí kurapɨ catorze kurarikãharã wa'âkãrã niîwã. Be'ró Davi me'ra tiikéseta taha niîkaro niîwɨ. Israel kurakãharãre Babilônia di'tapɨ naâ miáaka teropɨ niî tɨokaro niîwɨ. Be'ró Israel kurakãharãre Babilôniapɨ miáaka be'rore taha tiikéseta niîkaro niîwɨ. Teê Cristo kɨ̃ɨ̂ bahuári kurapɨ niî tɨokaro niîwɨ."
40,1,18,Jesu Cristo bahuá'ke a'tîro wa'âkaro niîwɨ. Maria kɨ̃ɨ̂ pakó José me'ra amûkã dɨ'tegótigo weéko niîwõ. Naâ ni'kâro me'ra niiátoho dɨporo koô nihî pako niî tohako niîwõ. Espírito Santo kɨ̃ɨ̂ tutuaró me'ra koôre tohô wa'akã́ weékɨ niîwĩ.
40,1,19,"José koô marapɨ́ niiákɨhɨ ãyuró ẽho peógɨ niîkɨ niîwĩ. Koô nihî pako niisére masîmigɨ, koôre ma'í kõ'â sĩ'ritigɨ, “Wiôrãpɨre werê sãa wee'”, niîkɨ niîwĩ. A'tîro pe'e wãkûkɨ niîwĩ. “Ya'yióropɨ koôre du'ugɨ́ti”, niîkɨ niîmiwĩ."
40,1,20,"Kɨ̃ɨ̂ tohô wãkurí kura kɨ̃ɨ̂re kẽ'erópɨ ni'kɨ́ Õ'âkɨ̃hɨre werê ko'tegɨ ɨ'mɨ̂sekɨ̃hɨ a'tîro niîkɨ niîwĩ:—José, Davi paramí niî turiagɨ, Mariare yã'âro wãkûtikã'ya. Espírito Santo kɨ̃ɨ̂ tutuaró me'ra koô ɨpɨpɨ́ sãhá nɨ'ka, koôre nihî pako wa'akã́ weékɨ niîwĩ. Tohô weégɨ bopôyaro mariró koôre mɨ'ɨ̂ nɨmôtiya."
40,1,21,"Koô wi'magɨ́re wɨâgosamo. Kɨ̃ɨ̂, kɨ̃ɨ yarã́ masaré naâ yã'âro weé'kere yɨ'rɨoákɨhɨ niîgɨsami. Tohô weégɨ Jesu wamê yeeya, niî werêkɨ niîwĩ Õ'âkɨ̃hɨre werê ko'tegɨ. Jesu niîro, “Masaré yɨ'rɨógɨ” niîro weé'."
40,1,22,"Too dɨpóropɨ kɨ̃ɨ yeé kiti werê mɨ'tagɨ me'ra Õ'âkɨ̃hɨ kɨ̃ɨ̂ uúkũ'kere keoró wa'â dutigɨ tohô weékɨ niîwĩ. A'tîro niî ohâ dutikɨ niîwĩ:Ni'kó numiô ɨmɨ́ me'ra niîtimigo, nihî pako wa'â, be'ró põ'ratígosamo. Kɨ̃ɨ̂ Emanuel wamêtigɨsami, niî ohâ no'okaro niîwɨ.Emanuel “Õ'âkɨ̃hɨ marî me'ra niîmi”, niîro weékaro niîwɨ. Series, "
40,1,24,"Be'ró José wã'kágɨ, Õ'âkɨ̃hɨre werê ko'tegɨ dutî'kere weékɨ niîwĩ. Mariare kɨ̃ɨ yaá wi'ipɨ nɨmôtigɨti niîgɨ miáakɨ niîwĩ."
40,1,25,"Tohô weemígɨ, koô makɨ́ wɨaátoho dɨporo koô me'ra niîtikɨ niîwĩ. Koô makɨ́ bahuáka be'ro kɨ̃ɨ̂re Jesu wamê yeekɨ niîwĩ."
40,2,1,Masirã́ naâ Jesuré ĩ'yârã wa'â'ke niî'Herode Judéia di'ta wiôgɨ niirí kura Jesu Belẽ́ wamêtiri makapɨ bahuákɨ niîwĩ. Kɨ̃ɨ̂ bahuáka be'ro ɨmɨá masirã́ muhîpũ mɨhátiro pe'ekãharã Jerusalẽ́pɨ etâkãrã niîwã.
40,2,2,"Toopɨ́ etârã, sẽrí yã'akãrã niîwã:—Judeu masa wiôgɨ niiákɨhɨ wi'magɨ́ no'opɨ́ bahuápari? Ɨ̃sa yaá maka muhîpũ mɨhátiro pe'e dɨporópɨ yõkoáwɨ̃ ɨ̃sâ ĩ'yâti'kɨre ĩ'yâwɨ. Kɨ̃ɨ̂re ĩ'yârã, “Wiôgɨ niiákɨhɨ bahuá tohapĩ”, niîwɨ. Tohô weérã kɨ̃ɨ̂re ẽho peórã a'tiápɨ, niîkãrã niîwã."
40,2,3,"Herode naâ tohô niisére tɨ'ógɨ, mehêkã peharo tɨ'ó yã'akɨ niîwĩ. Jerusalẽ́kãharã kẽ'ra niî pe'tirã meharóta tɨ'ó yã'akãrã niîwã."
40,2,4,Tohô weégɨ sacerdotea wiôrãre pihîokɨ niîwĩ. Tohô niikã́ ãpêrã masaré Moisé dutî'kere bu'erã́re pihîokɨ niîwĩ. Naâre sẽrí yã'akɨ niîwĩ:—Cristo Õ'âkɨ̃hɨ besé'kɨ no'opɨ́ bahuágɨsari? niîkɨ niîwĩ.
40,2,5,"Kɨ̃ɨ̂ tohô niikã́, naâ yɨ'tíkãrã niîwã:—A'tí di'ta Judéia Belẽ́ wamêtiri makapɨ bahuágɨsami. Dɨporókɨ̃hɨpɨ Õ'âkɨ̃hɨ yee kiti werê mɨ'tagɨ kɨ̃ɨ̂ bahuaátehere a'tîro niî ohâkɨ niîwĩ:"
40,2,6,"Belẽ́, Judéia di'tapɨ niirí maka mehô niirí maka meheta niî'. Tií di'ta niisé makari wa'teropɨre tii makákɨ̃hɨ ni'kɨ́ wiôgɨ bahuágɨsami. Yarã́ masá Israel kurakãharãre ko'teákɨhɨ niîgɨsami, niî ohâ no'okaro niîwɨ, niî werêkãrã niîwã Herodere."
40,2,7,"Naâ tohô niîka be'ro Herode ya'yióropɨ masirã́re kɨ̃ɨ̂ tiropɨ pihîokɨ niîwĩ. Naâre sẽrí yã'agɨ, a'tîro niîkɨ niîwĩ:—De'ró niikã́ yõkoáwɨ̃ bahuá butia'miri kɨ̃ɨ? niîkɨ niîwĩ."
40,2,8,"“Tiîta bahuáwĩ” niîka be'ro naâre Belẽ́pɨ wa'â dutigɨ a'tîro niîkɨ niîwĩ:—Toopɨ́ wi'magɨ́re ãyuró sẽrí yã'a baha ke'aya. Kɨ̃ɨ̂re bokárã, yɨ'ɨ̂re werêya. Yɨ'ɨ́ kẽ'ra kɨ̃ɨ̂re ẽho peógɨ wa'âgɨti weé', niî sookɨ niîwĩ naâre."
40,2,9,"Naâre tohô niî werêka be'ro masirã́ Belẽ́pɨ yɨ'rɨákãrã niîwã. Toopɨ́ yɨ'rɨárã, yõkoáwɨ̃ naa yaá makapɨ ĩ'yâ wã'kati'kɨta taha naâ dɨporo ɨ'mɨtã́ wã'kakɨ niîwĩ. Be'ró wi'magɨ́ niiró bu'ipɨ ehâgɨ, yõkoáwɨ̃ tohâ nɨ'kakɨ niîwĩ maha. Masirã́ yõkoáwɨ̃re ĩ'yârã, pũûro e'katíkãrã niîwã."
40,2,11,"Tií wi'ipɨ sãha ehárã, wi'magɨ́re kɨ̃ɨ̂ pakó Maria me'ra niigɨ́re ĩ'yâkãrã niîwã. Kɨ̃ɨ̂re ĩ'yârã ẽho peórã, ehâ ke'akãrã niîwã. Be'ró naâ miáa'ke akarire pãâ, kɨ̃ɨ̂re ouro, ɨ'mɨ̂tihise incensore, tohô niikã́ apêye ɨ'mɨ̂tihiseta taha mirra wamêtisere o'ôkãrã niîwã."
40,2,12,"Be'ró naâre kẽ'erópɨ Õ'âkɨ̃hɨ “Herode tiropɨ mahâmi tohatikã'ya”, niîkɨ niîwĩ. Tohô weérã naa yaá di'tapɨ toháarã, apé ma'apɨ mahâmi tohakãrã niîwã."
40,2,13,"Herodere Egitopɨ José kẽ'ra naâ du'tiá'ke niî'Masirã́ toháaka be'ro Joseré Õ'âkɨ̃hɨre werê ko'tegɨ ɨ'mɨ̂sekɨ̃hɨ kẽ'erópɨ bahuá, a'tîro niîkɨ niîwĩ:—Wã'kayá. Wi'magɨ́ kɨ̃ɨ̂ pakó me'ra Egitopɨ du'tiáya. Toopɨ́ tohá ni'iya. Yɨ'ɨ̂ “Toô kã'rota tohátia” niîka be'ropɨ tohátia taha. Herode wi'magɨ́re wẽhé sĩ'rigɨ a'mâgɨsami, niîkɨ niîwĩ."
40,2,14,"Kɨ̃ɨ̂ tohô niikã́ tɨ'ógɨ, José wã'ká, wi'magɨ́re pakó me'ra yamîta Egitopɨ miáakɨ niîwĩ."
40,2,15,"Toopɨ́re Herode katiró põo tẽóro tohá ni'ikãrã niîwã. A'té Õ'âkɨ̃hɨ yee kiti werê mɨ'tagɨ kɨ̃ɨ̂ ohâ'ke keoró wa'â dutiro tohô wa'âkaro niîwɨ. Teeré a'tîro niî ohâ mɨ'takɨ niîwĩ: “‘Yɨ'ɨ̂ makɨ Egitopɨ niigɨ́re pihî wihawɨ’, niîkɨ niîwĩ Õ'âkɨ̃hɨ”, niî ohâ no'owɨ. Herode ɨmɨá wi'marã́re wẽhe dutí'ke niî'Herode masirã́re, yɨ'ɨ̂re buhíkã'pã niîgɨ, uâ yɨ'rɨa wa'âkɨ niîwĩ. Tohô uâgɨ, niî pe'tirã ɨmɨá wi'marã́re Belẽ́pɨ, tohô niikã́ tii maká sumútohopɨ niirã́re pɨá kɨ'ma kɨorã́re, naâ dɨharó kɨorã́re wẽhe dutíkɨ niîwĩ. Naâ masirã́ kɨ̃ɨ̂re werê'karo toô kã'rota bɨkɨâsami niîgɨ, ɨmɨá wi'marã́ tiikése kɨ'mari kɨorã́re wẽhe dutíkɨ niîwĩ. Kɨ̃ɨ̂ tohô wee dutísere Jeremia Õ'âkɨ̃hɨ yee kiti werê mɨ'tagɨ kɨ̃ɨ̂ ohâ'ke keoró wa'âkaro niîwɨ. A'tîro ohâkɨ niîwĩ: Ramá wamêtiri makapɨre masá bɨhâ weti, utî karíkũkã tɨ'ó no'orosa'. Raquel paramérã niî turiarã numiapɨ Israel kurakãharã nɨmosã́ numia naâ põ'raré pũûro utî dɨhasé wã'arãsama. Naâ põ'raré wẽhekã́ ĩ'yârã bɨhâ wetikã, ãpêrã wãkû tutuase o'ô masitirãsama, niî ohâ no'owɨ. Herode wẽrîka be'ro kẽ'erópɨ ni'kɨ́ Õ'âkɨ̃hɨre werê ko'tegɨ José Egitopɨ niigɨ́re niîkɨ niîwĩ: —Wã'kayá. Wi'magɨ́re kɨ̃ɨ̂ pakó me'ra Israel kurakãharã niirí di'tapɨ sɨ'orí dahâ tohaaya. Wi'magɨ́re wẽhé sĩ'ri'kãrã boâ pe'tia wa'aáma, niîkɨ niîwĩ."
40,2,21,"Tohô niikã́ tɨ'ógɨ, José wã'ká, wi'magɨ́re kɨ̃ɨ̂ pakó me'ra Israel kurakãharã niirí di'tapɨ sɨ'orí miáakɨ niîwĩ."
40,2,22,"Be'ró “Herode makɨ Arquelau kɨ̃ɨ̂ pakɨré Judéia di'ta wiôgɨ dɨka yuuápɨ” niikã́ tɨ'ógɨ, uîkɨ niîwĩ. Tohô weégɨ toopɨ́re wa'â sĩ'ritikɨ niîwĩ. Õ'âkɨ̃hɨ kẽ'erópɨ werê no'o'kɨ niî yuugɨ, Galiléia wamêtiri di'ta pe'e yɨ'rɨákɨ niîwĩ."
40,2,23,"Toopɨ́re etârã, Nazaré wamêtiri makapɨ tohâ ke'akãrã niîwã. Naâ toopɨ́ wa'akã́, Õ'âkɨ̃hɨ yee kiti werê mɨ'tarã naâ ohâ'ke keoró wa'âkaro niîwɨ. “Masá kɨ̃ɨ̂re ‘Nazarékɨ̃hɨ niîmi’ niîrãsama”, niî ohâ no'owɨ."
40,3,1,"Jesu kɨ̃ɨ̂ Nazarépɨ niirí kura masaré wamê yeegɨ Judéia di'tapɨ yukɨ́ mariró, masá marirópɨ wa'âkɨ niîwĩ. Toopɨ́ masá kɨ̃ɨ̂ tiropɨ eharã́re bu'êkɨ niîwĩ."
40,3,2,"A'tîro niî werêkɨ niîwĩ:Ni'kɨ́ yukɨ́ mariró, masá marirópɨ a'tîro karíkũ nu'ku bahâ ke'atigɨsami: “Marî wiôgɨ a'tiátihi ma'are apo yuúya. Diakɨ̃hɨ́ri ma'a ãyurí ma'a kẽ'râro weeró noho wee yuúya”, niî ohâkɨ niîwĩ.Marî wiôgɨ a'tiátoho dɨporo mɨsâ niisétisere apo yuúya, mɨsâ wãkusére dɨka yuúya niîgɨ, tohô niîkɨ niîwĩ."
40,3,4,"kɨ̃ɨ̂ su'tîro camelo poari me'ra naâ su'â'karo niîkaro niîwɨ. Wa'îkɨ̃rã kasero me'ra ehêri tuukɨ niîwĩ. Pahasé kɨorã naâ ba'asétisere poreroá, nɨkɨ̂kãhase mumia yeé mumire ba'âkɨ niîwĩ."
40,3,5,"Pãharã́ Jerusalẽ́kãharã, ãpêrã tií di'ta Judéiapɨ niirã́ kɨ̃ɨ̂ tiropɨ kɨ̃ɨ̂ bu'esére tɨ'órã wa'âkãrã niîwã. Tohô niikã́ diâ Jordão wamêtiri maa pɨ'tokãharã tɨ'órã wa'âkãrã niîwã."
40,3,6,Naâ yã'âro weé'kere werê yɨ'rɨka be'ro naâre wamê yeekɨ niîwĩ.
