Book,Chapter,Verse,Scripture
40,1,1,"Zezu Cristuhu hi'rata norĩ za'ratazéÃ hã rob'ui'éré hã Zezu Cristuhu hi'rata norĩ za'ratazé. Ta hã Dawihi nhihudu, duré Abra'ãhã nhihudu."
40,1,2,"Abra'ã hã Izatihi mama. Izati hã Zacoho mama. Zaco hã Zuda norĩ mama, tisisãnawã norĩ me."
40,1,3,"Zuda hã Perezihi mama, duré Zeraha mama. Ĩna zahuré hã Tama na ĩsisi hã. Duré Perezi hã Esirõhõ mama. Duré Esirõ hã Arãhã mama, ta hã."
40,1,4,Arã hã Aminadabehe mama. Duré Aminadabe hã Nasõhõ mama. Duré Nasõ hã Samohõ mama.
40,1,5,"Samo hã Bu'azihi mama. Bu'azihi na hã Ra'abi na ĩsisi hã. Duré Bu'azi hã Obedihi mama. Obedihi na nhisi hã, Ruti na ĩsisi hã. Duré Obedi hã Zéséhé mama."
40,1,6,"Zésé hã Dawihi mama, dama ĩpire mama. Dawi hã Saromahã mama. Uri'asi ĩdâ'â mro wa, ma podo, Saroma hã."
40,1,7,Saroma hã Robu'ãhã mama. Duré Robu'ã hã Abizaha mama. Duré Abiza hã Azaha mama.
40,1,8,Aza hã Zosapaha mama. Duré Zosapa hã Zorãhã mama. Zorã hã Uzi'asihi hi'rada.
40,1,9,"Uzi'asi hã Zotãhã mama. Duré Zotã hã Acasihi mama. Duré Acasi hã Ezetizaha mama, ta hã."
40,1,10,"Ezetiza hã Manaséhé mama. Duré Manasé hã Amosihi mama. Amosi hã Zozi'asihi mama, ta hã."
40,1,11,"Zozi'asi hã Zeconiza norĩ mama, tisisãnawã norĩ me. Babironiza u Izarazéhé nhihudu norĩ, da te séme da, da te simroi mono ré, ma tô ta norĩ hã tipoto za'ra. Tawamhã Izarazéhé nhihudu norĩ, Babironiza u da te simroi mono za'u si, ma tô Zeconiza hã poto, Sarati'é hã. Sarati'é hã Zorobabéhé mama, ta hã."
40,1,13,Zorobabé hã Abi'udihi mama. Duré Abi'udi hã Eri'atĩhĩ mama. Duré Eri'atĩ hã Azoho mama.
40,1,14,Azo hã Sadotihi mama. Duré Sadoti hã Atĩhĩ mama. Duré Atĩ hã Eri'udihi mama.
40,1,15,"Eri'udi hã Eri'azaha mama. Duré Eri'aza hã Matãhã mama. Duré Matã hã Zacoho mama, ta hã."
