Book,Chapter,Verse,Scripture
40,1,1,"Jeju nhingêt'ã ujarẽnh kadjy ne ja.Ba, ibê Matêu ne ba pi'ôkkam ar amã ikabẽn jarẽ. Dja ba ar amã Jeju Kritu'ã ajarẽ. Metĩndjwỳnh ne 'ã Bẽnjadjwỳrbê kumkati mẽ. Kute 'ã Bẽnjadjwỳrbê kumkati mẽnhkôt ne me Jejumã Kritu jarẽ. Dja ba Jeju Kritu nhingêt kumrẽx'ã ar amã ajarẽ. Aben nhitepã ar amã ingêt djàri arẽnho tẽ. O tẽn arỳm 'ã ar amã pi'ôk no'ôk gar arẽn ama. Jeju nhingêtbê ne Dawi. Ne ingêt 'õdjwỳbê Abraão."
40,1,2,Ingêt Abraão ne Idjak dji.Idjak dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm Djako dji.Djako dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba: nhym kam arỳm aben kukãm Djudamẽ kamy ar adjuw.Djudamẽ kamy ar adjuw nhym ar arỳm apôx. Apôx ne kam arỳm abatành ne ar ba.
40,1,3,Nhym kam Djuda arỳm Tamaremã Perêmẽ Djera ar adjuw.Perêmẽ Djera ar adjuw nhym ar arỳm apôx. Apôx ne arỳm abatành ne ar ba. Ar ba: nhym kam Perê arỳm Êrõ dji.Êrõ dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm Arão dji.Arão dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
40,1,4,Ar ba:n kam arỳm Amĩnadabi dji.Amĩnadabi dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm Naxõ dji.Naxõ dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm Xamão dji.Xamão dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
40,1,5,Ar ba:n kam arỳm Rabemã Bôadji dji.Bôadji dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm Ruximã Ôbet dji.Ôbet dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm Djexe dji.Djexe dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
40,1,6,Ar ba:n kam arỳm Dawi dji.Dawi dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n kam arỳm kubê bẽnjadjwỳr rax. Ar ba:n kam arỳm Urij prõmã Xaromão dji.Xaromão dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
40,1,7,Ar ba:n kam arỳm Robowão dji.Robowão dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n arỳm Abij dji.Abij dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n arỳm Adja dji.Adja dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
40,1,8,Ar ba:n arỳm Djoxapa dji.Djoxapa dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n arỳm Djorão dji.Djorão dji nhym arỳm kato. Katon arỳm abatành ne ar ba. Ar ba:n arỳm Udjij dji.Udjij dji nhym arỳm kato. Katon arỳm abatành ne ar ba.
40,1,9,Ar ba:n arỳm Djotão dji.Djotão dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Djotão ar ba:n arỳm Akadji dji.Akadji dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba. Ar ba:n arỳm Edjekij dji.Edjekij dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
40,1,10,Ar ba:n arỳm Manaxe dji.Manaxe dji nhym arỳm kato. Katon arỳm abatành ne ar ba. Ar ba:n arỳm Amõ dji.Amõ dji nhym arỳm kato. Katon arỳm abatành ne ar ba. Ar ba:n arỳm Djoxij dji.Djoxij dji nhym arỳm kato. Katon kam arỳm abatành ne ar ba.
